# Raw Website: http://yys.moe.edu.cn/wenziguifan/shanghi/014c.htm
# Characters are not numbered in raw material.
# 8 duplicate characters in raw website: 蔽, 弊, 憋, 鹡, 脊, 瞥, 鳐, 烝.

0482	厌
0483	厍
0484	戌
0485	在
0486	百
0487	有
0488	存
0489	而
0490	页
0491	匠
0492	夸
0493	夺
0494	夼
0495	灰
0496	达
0497	戍
0498	尥
0499	列
0500	死
0501	成
0502	夹
0503	夷
0504	轨
0505	邪
0506	尧
0507	划
0508	迈
0509	毕
0510	至
0511	此
0512	乩
0513	贞
0514	师
0515	尘
0516	尖
0517	劣
0518	光
0519	当
0520	吁
0521	早
0522	吐
0523	吓
0524	旯
0525	曳
0526	虫
0527	曲
0528	团
0529	同
0530	吕
0531	吊
0532	吃
0533	因
0534	吸
0535	吗
0536	吆
0537	屿
0538	屹
0539	岌
0540	帆
0541	岁
0542	回
0543	岂
0544	屺
0545	则
0546	刚
0547	网
0548	肉
0549	凼
0550	囝
0551	囡
0552	钆
0553	钇
0554	年
0555	朱
0556	缶
0557	氘
0558	氖
0559	牝
0560	先
0561	丢
0562	廷
0563	舌
0564	竹
0565	迁
0566	乔
0567	迄
0568	伟
0569	传
0570	乒
0571	乓
0572	休
0573	伍
0574	伎
0575	伏
0576	伛
0577	优
0578	臼
0579	伢
0580	伐
0581	仳
0582	延
0583	佤
0584	仲
0585	仵
0586	件
0587	任
0588	伤
0589	伥
0590	价
0591	伦
0592	份
0593	伧
0594	华
0595	仰
0596	伉
0597	仿
0598	伙
0599	伪
0600	伫
0601	自
0602	伊
0603	血
0604	向
0605	囟
0606	似
0607	后
0608	行
0609	甪
0610	舟
0611	全
0612	会
0613	杀
0614	合
0615	兆
0616	企
0617	汆
0618	氽
0619	众
0620	爷
0621	伞
0622	创
0623	刖
0624	肌
0625	肋
0626	朵
0627	杂
0628	夙
0629	危
0630	旬
0631	旭
0632	旮
0633	旨
0634	负
0635	犴
0636	刎
0637	犷
0638	匈
0639	犸
0640	舛
0641	各
0642	名
0643	多
0644	凫
0645	争
0646	邬
0647	色
0648	饧
0649	冱
0650	壮
0651	冲
0652	妆
0653	冰
0654	庄
0655	庆
0656	亦
0657	刘
0658	齐
0659	交
0660	次
0661	衣
0662	产
0663	决
0664	亥
0665	邡
0666	充
0667	妄
0668	闭
0669	问
0670	闯
0671	羊
0672	并
0673	关
0674	米
0675	灯
0676	州
0677	汗
0678	污
0679	江
0680	汕
0681	汔
0682	汲
0683	汐
0684	汛
0685	汜
0686	池
0687	汝
0688	汤
0689	汊
0690	忖
0691	忏
0692	忙
0693	兴
0694	宇
0695	守
0696	宅
0697	字
0698	安
0699	讲
0700	讳
0701	讴
0702	军
0703	讵
0704	讶
0705	祁
0706	讷
0707	许
0708	讹
0709	论
0710	讼
0711	农
0712	讽
0713	设
0714	访
0715	诀
0716	聿
0717	寻
0718	那
0719	艮
0720	厾
0721	迅
0722	尽
0723	导
0724	异
0725	弛
0726	阱
0727	阮
0728	孙
0729	阵
0730	阳
0731	收
0732	阪
0733	阶
0734	阴
0735	防
0736	丞
0737	奸
0738	如
0739	妁
0740	妇
0741	妃
0742	好
0743	她
0744	妈
0745	戏
0746	羽
0747	观
0748	牟
0749	欢
0750	买
0751	纡
0752	红
0753	纣
0754	驮
0755	纤
0756	纥
0757	驯
0758	纨
0759	约
0760	级
0761	纩
0762	纪
0763	驰
0764	纫
0765	巡
0766	寿
0767	玕
0768	弄
0769	玙
0770	麦
0771	玖
0772	玚
0773	玛
0774	形
0775	进
0776	戒
0777	吞
0778	远
0779	违
0780	韧
0781	运
0782	扶
0783	抚
0784	坛
0785	抟
0786	技
0787	坏
0788	抔
0789	抠
0790	坜
0791	扰
0792	扼
0793	拒
0794	找
0795	批
0796	扯
0797	址
0798	走
0799	抄
0800	汞
0801	坝
0802	贡
0803	攻
0804	赤
0805	圻
0806	折
0807	抓
0808	扳
0809	坂
0810	抡
0811	扮
0812	抢
0813	扺
0814	孝
0815	坎
0816	坍
0817	均
0818	坞
0819	抑
0820	抛
0821	投
0822	抃
0823	坟
0824	坑
0825	抗
0826	坊
0827	抖
0828	护
0829	壳
0830	志
0831	扭
0832	块
0833	抉
0834	声
0835	把
0836	报
0837	拟
0838	抒
0839	却
0840	劫
0841	毐
0842	芙
0843	芫
0844	芜
0845	苇
0846	邯
0847	芸
0848	芾
0849	芰
0850	苈
0851	苊
0852	苣
0853	芽
0854	芷
0855	芮
0856	苋
0857	芼
0858	苌
0859	花
0860	芹
0861	芥
0862	苁
0863	芩
0864	芬
0865	苍
0866	芪
0867	芴
0868	芡
0869	芟
0870	苄
0871	芳
0872	严
0873	苎
0874	芦
0875	芯
0876	劳
0877	克
0878	芭
0879	苏
0880	苡
0881	杆
0882	杜
0883	杠
0884	材
0885	村
0886	杖
0887	杌
0888	杏
0889	杉
0890	巫
0891	杓
0892	极
0893	杧
0894	杞
0895	李
0896	杨
0897	杈
0898	求
0899	忑
0900	孛
0901	甫
0902	匣
0903	更
0904	束
0905	吾
0906	豆
0907	两
0908	邴
0909	酉
0910	丽
0911	医
0912	辰
0913	励
0914	邳
0915	否
0916	还
0917	矶
0918	奁
0919	豕
0920	尬
0921	歼
0922	来
0923	忒
0924	连
0925	欤
0926	轩
0927	轪
0928	轫
0929	迓
0930	邶
0931	忐
0932	芈
0933	步
0934	卤
0935	卣
0936	邺
0937	坚
0938	肖
0939	旰
0940	旱
0941	盯
0942	呈
0943	时
0944	吴
0945	呋
0946	助
0947	县
0948	里
0949	呓
0950	呆
0951	吱
0952	吠
0953	呔
0954	呕
0955	园
0956	呖
0957	呃
0958	旷
0959	围
0960	呀
0961	吨
0962	旸
0963	吡
0964	町
0965	足
0966	虬
0967	邮
0968	男
0969	困
0970	吵
0971	串
0972	呙
0973	呐
0974	呗
0975	员
0976	听
0977	吟
0978	吩
0979	呛
0980	吻
0981	吹
0982	呜
0983	吭
0984	吣
0985	吲
0986	吼
0987	邑
0988	吧
0989	囤
0990	别
0991	吮
0992	岍
0993	帏
0994	岐
0995	岖
0996	岈
0997	岗
0998	岘
0999	帐
1000	岑
1001	岚
1002	兕
