num	glyph	G1-source	description
1	啊	G1-3021	GB/T 12345—1990，16—01
2	阿	G1-3022	GB/T 12345—1990，16—02
3	埃	G1-3023	GB/T 12345—1990，16—03
4	挨	G1-3024	GB/T 12345—1990，16—04
5	哎	G1-3025	GB/T 12345—1990，16—05
6	唉	G1-3026	GB/T 12345—1990，16—06
7	哀	G1-3027	GB/T 12345—1990，16—07
8	皚	G1-3028	GB/T 12345—1990，16—08
9	癌	G1-3029	GB/T 12345—1990，16—09
10	藹	G1-302A	GB/T 12345—1990，16—10
11	矮	G1-302B	GB/T 12345—1990，16—11
12	艾	G1-302C	GB/T 12345—1990，16—12
13	礙	G1-302D	GB/T 12345—1990，16—13
14	愛	G1-302E	GB/T 12345—1990，16—14
15	隘	G1-302F	GB/T 12345—1990，16—15
16	鞍	G1-3030	GB/T 12345—1990，16—16
17	氨	G1-3031	GB/T 12345—1990，16—17
18	安	G1-3032	GB/T 12345—1990，16—18
19	俺	G1-3033	GB/T 12345—1990，16—19
20	按	G1-3034	GB/T 12345—1990，16—20
21	暗	G1-3035	GB/T 12345—1990，16—21
22	岸	G1-3036	GB/T 12345—1990，16—22
23	胺	G1-3037	GB/T 12345—1990，16—23
24	案	G1-3038	GB/T 12345—1990，16—24
25	骯	G1-3039	GB/T 12345—1990，16—25
26	昂	G1-303A	GB/T 12345—1990，16—26
27	盎	G1-303B	GB/T 12345—1990，16—27
28	凹	G1-303C	GB/T 12345—1990，16—28
29	敖	G1-303D	GB/T 12345—1990，16—29
30	熬	G1-303E	GB/T 12345—1990，16—30
31	翱	G1-303F	GB/T 12345—1990，16—31
32	襖	G1-3040	GB/T 12345—1990，16—32
33	傲	G1-3041	GB/T 12345—1990，16—33
34	奥	G1-3042	GB/T 12345—1990，16—34
35	懊	G1-3043	GB/T 12345—1990，16—35
36	澳	G1-3044	GB/T 12345—1990，16—36
37	芭	G1-3045	GB/T 12345—1990，16—37
38	捌	G1-3046	GB/T 12345—1990，16—38
39	扒	G1-3047	GB/T 12345—1990，16—39
40	叭	G1-3048	GB/T 12345—1990，16—40
41	吧	G1-3049	GB/T 12345—1990，16—41
42	笆	G1-304A	GB/T 12345—1990，16—42
43	八	G1-304B	GB/T 12345—1990，16—43
44	疤	G1-304C	GB/T 12345—1990，16—44
45	巴	G1-304D	GB/T 12345—1990，16—45
46	拔	G1-304E	GB/T 12345—1990，16—46
47	跋	G1-304F	GB/T 12345—1990，16—47
48	靶	G1-3050	GB/T 12345—1990，16—48
49	把	G1-3051	GB/T 12345—1990，16—49
50	耙	G1-3052	GB/T 12345—1990，16—50
51	壩	G1-3053	GB/T 12345—1990，16—51
52	霸	G1-3054	GB/T 12345—1990，16—52
53	罷	G1-3055	GB/T 12345—1990，16—53
54	爸	G1-3056	GB/T 12345—1990，16—54
55	白	G1-3057	GB/T 12345—1990，16—55
56	柏	G1-3058	GB/T 12345—1990，16—56
57	百	G1-3059	GB/T 12345—1990，16—57
58	擺	G1-305A	GB/T 12345—1990，16—58
59	佰	G1-305B	GB/T 12345—1990，16—59
60	敗	G1-305C	GB/T 12345—1990，16—60
61	拜	G1-305D	GB/T 12345—1990，16—61
62	稗	G1-305E	GB/T 12345—1990，16—62
63	斑	G1-305F	GB/T 12345—1990，16—63
64	班	G1-3060	GB/T 12345—1990，16—64
65	搬	G1-3061	GB/T 12345—1990，16—65
66	扳	G1-3062	GB/T 12345—1990，16—66
67	般	G1-3063	GB/T 12345—1990，16—67
68	頒	G1-3064	GB/T 12345—1990，16—68
69	板	G1-3065	GB/T 12345—1990，16—69
70	版	G1-3066	GB/T 12345—1990，16—70
71	扮	G1-3067	GB/T 12345—1990，16—71
72	拌	G1-3068	GB/T 12345—1990，16—72
73	伴	G1-3069	GB/T 12345—1990，16—73
74	瓣	G1-306A	GB/T 12345—1990，16—74
75	半	G1-306B	GB/T 12345—1990，16—75
76	辦	G1-306C	GB/T 12345—1990，16—76
77	絆	G1-306D	GB/T 12345—1990，16—77
78	邦	G1-306E	GB/T 12345—1990，16—78
79	幫	G1-306F	GB/T 12345—1990，16—79
80	梆	G1-3070	GB/T 12345—1990，16—80
81	榜	G1-3071	GB/T 12345—1990，16—81
82	膀	G1-3072	GB/T 12345—1990，16—82
83	綁	G1-3073	GB/T 12345—1990，16—83
84	棒	G1-3074	GB/T 12345—1990，16—84
85	磅	G1-3075	GB/T 12345—1990，16—85
86	蚌	G1-3076	GB/T 12345—1990，16—86
87	鎊	G1-3077	GB/T 12345—1990，16—87
88	傍	G1-3078	GB/T 12345—1990，16—88
89	謗	G1-3079	GB/T 12345—1990，16—89
90	苞	G1-307A	GB/T 12345—1990，16—90
91	胞	G1-307B	GB/T 12345—1990，16—91
92	包	G1-307C	GB/T 12345—1990，16—92
93	褒	G1-307D	GB/T 12345—1990，16—93
94	剥	G1-307E	GB/T 12345—1990，16—94
95	薄	G1-3121	GB/T 12345—1990，17—01
96	雹	G1-3122	GB/T 12345—1990，17—02
97	保	G1-3123	GB/T 12345—1990，17—03
98	堡	G1-3124	GB/T 12345—1990，17—04
99	飽	G1-3125	GB/T 12345—1990，17—05
100	寶	G1-3126	GB/T 12345—1990，17—06
101	抱	G1-3127	GB/T 12345—1990，17—07
102	報	G1-3128	GB/T 12345—1990，17—08
103	暴	G1-3129	GB/T 12345—1990，17—09
104	豹	G1-312A	GB/T 12345—1990，17—10
105	鮑	G1-312B	GB/T 12345—1990，17—11
106	爆	G1-312C	GB/T 12345—1990，17—12
107	杯	G1-312D	GB/T 12345—1990，17—13
108	碑	G1-312E	GB/T 12345—1990，17—14
109	悲	G1-312F	GB/T 12345—1990，17—15
110	卑	G1-3130	GB/T 12345—1990，17—16
111	北	G1-3131	GB/T 12345—1990，17—17
112	輩	G1-3132	GB/T 12345—1990，17—18
113	背	G1-3133	GB/T 12345—1990，17—19
114	貝	G1-3134	GB/T 12345—1990，17—20
115	鋇	G1-3135	GB/T 12345—1990，17—21
116	倍	G1-3136	GB/T 12345—1990，17—22
117	狽	G1-3137	GB/T 12345—1990，17—23
118	備	G1-3138	GB/T 12345—1990，17—24
119	憊	G1-3139	GB/T 12345—1990，17—25
120	焙	G1-313A	GB/T 12345—1990，17—26
121	被	G1-313B	GB/T 12345—1990，17—27
122	奔	G1-313C	GB/T 12345—1990，17—28
123	苯	G1-313D	GB/T 12345—1990，17—29
124	本	G1-313E	GB/T 12345—1990，17—30
125	笨	G1-313F	GB/T 12345—1990，17—31
126	崩	G1-3140	GB/T 12345—1990，17—32
127	綳	G1-3141	GB/T 12345—1990，17—33
128	甭	G1-3142	GB/T 12345—1990，17—34
129	泵	G1-3143	GB/T 12345—1990，17—35
130	蹦	G1-3144	GB/T 12345—1990，17—36
131	迸	G1-3145	GB/T 12345—1990，17—37
132	逼	G1-3146	GB/T 12345—1990，17—38
133	鼻	G1-3147	GB/T 12345—1990，17—39
134	比	G1-3148	GB/T 12345—1990，17—40
135	鄙	G1-3149	GB/T 12345—1990，17—41
136	筆	G1-314A	GB/T 12345—1990，17—42
137	彼	G1-314B	GB/T 12345—1990，17—43
138	碧	G1-314C	GB/T 12345—1990，17—44
139	蓖	G1-314D	GB/T 12345—1990，17—45
140	蔽	G1-314E	GB/T 12345—1990，17—46
141	畢	G1-314F	GB/T 12345—1990，17—47
142	斃	G1-3150	GB/T 12345—1990，17—48
143	毖	G1-3151	GB/T 12345—1990，17—49
144	幣	G1-3152	GB/T 12345—1990，17—50
145	庇	G1-3153	GB/T 12345—1990，17—51
146	痹	G1-3154	GB/T 12345—1990，17—52
147	閉	G1-3155	GB/T 12345—1990，17—53
148	敝	G1-3156	GB/T 12345—1990，17—54
149	弊	G1-3157	GB/T 12345—1990，17—55
150	必	G1-3158	GB/T 12345—1990，17—56
151	辟	G1-3159	GB/T 12345—1990，17—57
152	壁	G1-315A	GB/T 12345—1990，17—58
153	臂	G1-315B	GB/T 12345—1990，17—59
154	避	G1-315C	GB/T 12345—1990，17—60
155	陛	G1-315D	GB/T 12345—1990，17—61
156	鞭	G1-315E	GB/T 12345—1990，17—62
157	邊	G1-315F	GB/T 12345—1990，17—63
158	編	G1-3160	GB/T 12345—1990，17—64
159	貶	G1-3161	GB/T 12345—1990，17—65
160	扁	G1-3162	GB/T 12345—1990，17—66
161	便	G1-3163	GB/T 12345—1990，17—67
162	變	G1-3164	GB/T 12345—1990，17—68
163	卞	G1-3165	GB/T 12345—1990，17—69
164	辨	G1-3166	GB/T 12345—1990，17—70
165	辯	G1-3167	GB/T 12345—1990，17—71
166	辮	G1-3168	GB/T 12345—1990，17—72
167	遍	G1-3169	GB/T 12345—1990，17—73
168	標	G1-316A	GB/T 12345—1990，17—74
169	彪	G1-316B	GB/T 12345—1990，17—75
170	膘	G1-316C	GB/T 12345—1990，17—76
171	表	G1-316D	GB/T 12345—1990，17—77
172	鱉	G1-316E	GB/T 12345—1990，17—78
173	憋	G1-316F	GB/T 12345—1990，17—79
174	别	G1-3170	GB/T 12345—1990，17—80
175	癟	G1-3171	GB/T 12345—1990，17—81
176	彬	G1-3172	GB/T 12345—1990，17—82
177	斌	G1-3173	GB/T 12345—1990，17—83
178	瀕	G1-3174	GB/T 12345—1990，17—84
179	濱	G1-3175	GB/T 12345—1990，17—85
180	賓	G1-3176	GB/T 12345—1990，17—86
181	擯	G1-3177	GB/T 12345—1990，17—87
182	兵	G1-3178	GB/T 12345—1990，17—88
183	冰	G1-3179	GB/T 12345—1990，17—89
184	柄	G1-317A	GB/T 12345—1990，17—90
185	丙	G1-317B	GB/T 12345—1990，17—91
186	秉	G1-317C	GB/T 12345—1990，17—92
187	餅	G1-317D	GB/T 12345—1990，17—93
188	炳	G1-317E	GB/T 12345—1990，17—94
189	病	G1-3221	GB/T 12345—1990，18—01
190	并	G1-3222	GB/T 12345—1990，18—02
191	玻	G1-3223	GB/T 12345—1990，18—03
192	菠	G1-3224	GB/T 12345—1990，18—04
193	播	G1-3225	GB/T 12345—1990，18—05
194	撥	G1-3226	GB/T 12345—1990，18—06
195	鉢	G1-3227	GB/T 12345—1990，18—07
196	波	G1-3228	GB/T 12345—1990，18—08
197	博	G1-3229	GB/T 12345—1990，18—09
198	勃	G1-322A	GB/T 12345—1990，18—10
199	搏	G1-322B	GB/T 12345—1990，18—11
200	鉑	G1-322C	GB/T 12345—1990，18—12
201	箔	G1-322D	GB/T 12345—1990，18—13
202	伯	G1-322E	GB/T 12345—1990，18—14
203	帛	G1-322F	GB/T 12345—1990，18—15
204	舶	G1-3230	GB/T 12345—1990，18—16
205	脖	G1-3231	GB/T 12345—1990，18—17
206	膊	G1-3232	GB/T 12345—1990，18—18
207	渤	G1-3233	GB/T 12345—1990，18—19
208	泊	G1-3234	GB/T 12345—1990，18—20
209	駁	G1-3235	GB/T 12345—1990，18—21
210	捕	G1-3236	GB/T 12345—1990，18—22
211	卜	G1-3237	GB/T 12345—1990，18—23
212	哺	G1-3238	GB/T 12345—1990，18—24
213	補	G1-3239	GB/T 12345—1990，18—25
214	埠	G1-323A	GB/T 12345—1990，18—26
215	不	G1-323B	GB/T 12345—1990，18—27
216	布	G1-323C	GB/T 12345—1990，18—28
217	步	G1-323D	GB/T 12345—1990，18—29
218	簿	G1-323E	GB/T 12345—1990，18—30
219	部	G1-323F	GB/T 12345—1990，18—31
220	怖	G1-3240	GB/T 12345—1990，18—32
221	擦	G1-3241	GB/T 12345—1990，18—33
222	猜	G1-3242	GB/T 12345—1990，18—34
223	裁	G1-3243	GB/T 12345—1990，18—35
224	材	G1-3244	GB/T 12345—1990，18—36
225	才	G1-3245	GB/T 12345—1990，18—37
226	財	G1-3246	GB/T 12345—1990，18—38
227	睬	G1-3247	GB/T 12345—1990，18—39
228	踩	G1-3248	GB/T 12345—1990，18—40
229	采	G1-3249	GB/T 12345—1990，18—41
230	彩	G1-324A	GB/T 12345—1990，18—42
231	菜	G1-324B	GB/T 12345—1990，18—43
232	蔡	G1-324C	GB/T 12345—1990，18—44
233	餐	G1-324D	GB/T 12345—1990，18—45
234	參	G1-324E	GB/T 12345—1990，18—46
235	蠶	G1-324F	GB/T 12345—1990，18—47
236	殘	G1-3250	GB/T 12345—1990，18—48
237	慚	G1-3251	GB/T 12345—1990，18—49
238	慘	G1-3252	GB/T 12345—1990，18—50
239	燦	G1-3253	GB/T 12345—1990，18—51
240	蒼	G1-3254	GB/T 12345—1990，18—52
241	艙	G1-3255	GB/T 12345—1990，18—53
242	倉	G1-3256	GB/T 12345—1990，18—54
243	滄	G1-3257	GB/T 12345—1990，18—55
244	藏	G1-3258	GB/T 12345—1990，18—56
245	操	G1-3259	GB/T 12345—1990，18—57
246	糙	G1-325A	GB/T 12345—1990，18—58
247	槽	G1-325B	GB/T 12345—1990，18—59
248	曹	G1-325C	GB/T 12345—1990，18—60
249	草	G1-325D	GB/T 12345—1990，18—61
250	厠	G1-325E	GB/T 12345—1990，18—62
251	策	G1-325F	GB/T 12345—1990，18—63
252	側	G1-3260	GB/T 12345—1990，18—64
253	册	G1-3261	GB/T 12345—1990，18—65
254	測	G1-3262	GB/T 12345—1990，18—66
255	層	G1-3263	GB/T 12345—1990，18—67
256	蹭	G1-3264	GB/T 12345—1990，18—68
257	插	G1-3265	GB/T 12345—1990，18—69
258	叉	G1-3266	GB/T 12345—1990，18—70
259	茬	G1-3267	GB/T 12345—1990，18—71
260	茶	G1-3268	GB/T 12345—1990，18—72
261	查	G1-3269	GB/T 12345—1990，18—73
262	碴	G1-326A	GB/T 12345—1990，18—74
263	搽	G1-326B	GB/T 12345—1990，18—75
264	察	G1-326C	GB/T 12345—1990，18—76
265	岔	G1-326D	GB/T 12345—1990，18—77
266	差	G1-326E	GB/T 12345—1990，18—78
267	詫	G1-326F	GB/T 12345—1990，18—79
268	拆	G1-3270	GB/T 12345—1990，18—80
269	柴	G1-3271	GB/T 12345—1990，18—81
270	豺	G1-3272	GB/T 12345—1990，18—82
271	攙	G1-3273	GB/T 12345—1990，18—83
272	摻	G1-3274	GB/T 12345—1990，18—84
273	蟬	G1-3275	GB/T 12345—1990，18—85
274	饞	G1-3276	GB/T 12345—1990，18—86
275	讒	G1-3277	GB/T 12345—1990，18—87
276	纏	G1-3278	GB/T 12345—1990，18—88
277	鏟	G1-3279	GB/T 12345—1990，18—89
278	産	G1-327A	GB/T 12345—1990，18—90
279	闡	G1-327B	GB/T 12345—1990，18—91
280	顫	G1-327C	GB/T 12345—1990，18—92
281	昌	G1-327D	GB/T 12345—1990，18—93
282	猖	G1-327E	GB/T 12345—1990，18—94
283	場	G1-3321	GB/T 12345—1990，19—01
284	嘗	G1-3322	GB/T 12345—1990，19—02
285	常	G1-3323	GB/T 12345—1990，19—03
286	長	G1-3324	GB/T 12345—1990，19—04
287	償	G1-3325	GB/T 12345—1990，19—05
288	腸	G1-3326	GB/T 12345—1990，19—06
289	廠	G1-3327	GB/T 12345—1990，19—07
290	敞	G1-3328	GB/T 12345—1990，19—08
291	暢	G1-3329	GB/T 12345—1990，19—09
292	唱	G1-332A	GB/T 12345—1990，19—10
293	倡	G1-332B	GB/T 12345—1990，19—11
294	超	G1-332C	GB/T 12345—1990，19—12
295	抄	G1-332D	GB/T 12345—1990，19—13
296	鈔	G1-332E	GB/T 12345—1990，19—14
297	朝	G1-332F	GB/T 12345—1990，19—15
298	嘲	G1-3330	GB/T 12345—1990，19—16
299	潮	G1-3331	GB/T 12345—1990，19—17
300	巢	G1-3332	GB/T 12345—1990，19—18
301	吵	G1-3333	GB/T 12345—1990，19—19
302	炒	G1-3334	GB/T 12345—1990，19—20
303	車	G1-3335	GB/T 12345—1990，19—21
304	扯	G1-3336	GB/T 12345—1990，19—22
305	撤	G1-3337	GB/T 12345—1990，19—23
306	掣	G1-3338	GB/T 12345—1990，19—24
307	徹	G1-3339	GB/T 12345—1990，19—25
308	澈	G1-333A	GB/T 12345—1990，19—26
309	郴	G1-333B	GB/T 12345—1990，19—27
310	臣	G1-333C	GB/T 12345—1990，19—28
311	辰	G1-333D	GB/T 12345—1990，19—29
312	塵	G1-333E	GB/T 12345—1990，19—30
313	晨	G1-333F	GB/T 12345—1990，19—31
314	忱	G1-3340	GB/T 12345—1990，19—32
315	沉	G1-3341	GB/T 12345—1990，19—33
316	陳	G1-3342	GB/T 12345—1990，19—34
317	趁	G1-3343	GB/T 12345—1990，19—35
318	襯	G1-3344	GB/T 12345—1990，19—36
319	撑	G1-3345	GB/T 12345—1990，19—37
320	稱	G1-3346	GB/T 12345—1990，19—38
321	城	G1-3347	GB/T 12345—1990，19—39
322	橙	G1-3348	GB/T 12345—1990，19—40
323	成	G1-3349	GB/T 12345—1990，19—41
324	呈	G1-334A	GB/T 12345—1990，19—42
325	乘	G1-334B	GB/T 12345—1990，19—43
326	程	G1-334C	GB/T 12345—1990，19—44
327	懲	G1-334D	GB/T 12345—1990，19—45
328	澄	G1-334E	GB/T 12345—1990，19—46
329	誠	G1-334F	GB/T 12345—1990，19—47
330	承	G1-3350	GB/T 12345—1990，19—48
331	逞	G1-3351	GB/T 12345—1990，19—49
332	騁	G1-3352	GB/T 12345—1990，19—50
333	秤	G1-3353	GB/T 12345—1990，19—51
334	吃	G1-3354	GB/T 12345—1990，19—52
335	痴	G1-3355	GB/T 12345—1990，19—53
336	持	G1-3356	GB/T 12345—1990，19—54
337	匙	G1-3357	GB/T 12345—1990，19—55
338	池	G1-3358	GB/T 12345—1990，19—56
339	遲	G1-3359	GB/T 12345—1990，19—57
340	弛	G1-335A	GB/T 12345—1990，19—58
341	馳	G1-335B	GB/T 12345—1990，19—59
342	耻	G1-335C	GB/T 12345—1990，19—60
343	齒	G1-335D	GB/T 12345—1990，19—61
344	侈	G1-335E	GB/T 12345—1990，19—62
345	尺	G1-335F	GB/T 12345—1990，19—63
346	赤	G1-3360	GB/T 12345—1990，19—64
347	翅	G1-3361	GB/T 12345—1990，19—65
348	斥	G1-3362	GB/T 12345—1990，19—66
349	熾	G1-3363	GB/T 12345—1990，19—67
350	充	G1-3364	GB/T 12345—1990，19—68
351	衝	G1-3365	GB/T 12345—1990，19—69
352	蟲	G1-3366	GB/T 12345—1990，19—70
353	崇	G1-3367	GB/T 12345—1990，19—71
354	寵	G1-3368	GB/T 12345—1990，19—72
355	抽	G1-3369	GB/T 12345—1990，19—73
356	酬	G1-336A	GB/T 12345—1990，19—74
357	疇	G1-336B	GB/T 12345—1990，19—75
358	躊	G1-336C	GB/T 12345—1990，19—76
359	稠	G1-336D	GB/T 12345—1990，19—77
360	愁	G1-336E	GB/T 12345—1990，19—78
361	籌	G1-336F	GB/T 12345—1990，19—79
362	仇	G1-3370	GB/T 12345—1990，19—80
363	綢	G1-3371	GB/T 12345—1990，19—81
364	瞅	G1-3372	GB/T 12345—1990，19—82
365	醜	G1-3373	GB/T 12345—1990，19—83
366	臭	G1-3374	GB/T 12345—1990，19—84
367	初	G1-3375	GB/T 12345—1990，19—85
368	出	G1-3376	GB/T 12345—1990，19—86
369	橱	G1-3377	GB/T 12345—1990，19—87
370	厨	G1-3378	GB/T 12345—1990，19—88
371	躇	G1-3379	GB/T 12345—1990，19—89
372	鋤	G1-337A	GB/T 12345—1990，19—90
373	雛	G1-337B	GB/T 12345—1990，19—91
374	滁	G1-337C	GB/T 12345—1990，19—92
375	除	G1-337D	GB/T 12345—1990，19—93
376	楚	G1-337E	GB/T 12345—1990，19—94
377	礎	G1-3421	GB/T 12345—1990，20—01
378	儲	G1-3422	GB/T 12345—1990，20—02
379	矗	G1-3423	GB/T 12345—1990，20—03
380	搐	G1-3424	GB/T 12345—1990，20—04
381	觸	G1-3425	GB/T 12345—1990，20—05
382	處	G1-3426	GB/T 12345—1990，20—06
383	揣	G1-3427	GB/T 12345—1990，20—07
384	川	G1-3428	GB/T 12345—1990，20—08
385	穿	G1-3429	GB/T 12345—1990，20—09
386	椽	G1-342A	GB/T 12345—1990，20—10
387	傳	G1-342B	GB/T 12345—1990，20—11
388	船	G1-342C	GB/T 12345—1990，20—12
389	喘	G1-342D	GB/T 12345—1990，20—13
390	串	G1-342E	GB/T 12345—1990，20—14
391	瘡	G1-342F	GB/T 12345—1990，20—15
392	窗	G1-3430	GB/T 12345—1990，20—16
393	幢	G1-3431	GB/T 12345—1990，20—17
394	床	G1-3432	GB/T 12345—1990，20—18
395	闖	G1-3433	GB/T 12345—1990，20—19
396	創	G1-3434	GB/T 12345—1990，20—20
