num	glyph	GT-source	description
1	一	GT-0001	标准电码本，0001
2	丁	GT-0002	标准电码本，0002
3	七	GT-0003	标准电码本，0003
4	丈	GT-0004	标准电码本，0004
5	三	GT-0005	标准电码本，0005
6	上	GT-0006	标准电码本，0006
7	下	GT-0007	标准电码本，0007
8	不	GT-0008	标准电码本，0008
9	丐	GT-0009	标准电码本，0009
10	丑	GT-0010	标准电码本，0010
11	且	GT-0011	标准电码本，0011
12	丕	GT-0012	标准电码本，0012
13	世	GT-0013	标准电码本，0013
14	丙	GT-0014	标准电码本，0014
15	丞	GT-0015	标准电码本，0015
16	丢	GT-0016	标准电码本，0016
17	並	GT-0017	标准电码本，0017
18	丏	GT-0018	标准电码本，0018
19	丨	GT-0019	标准电码本，0019
20	个	GT-0020	标准电码本，0020
21	丫	GT-0021	标准电码本，0021
22	中	GT-0022	标准电码本，0022
23	丰	GT-0023	标准电码本，0023
24	串	GT-0025	标准电码本，0025
25	锕	GT-0026	标准电码本，0026
26	丶	GT-0027	标准电码本，0027
27	锿	GT-0028	标准电码本，0028
28	丸	GT-0029	标准电码本，0029
29	丹	GT-0030	标准电码本，0030
30	主	GT-0031	标准电码本，0031
31	砹	GT-0032	标准电码本，0032
32	丿	GT-0033	标准电码本，0033
33	乂	GT-0034	标准电码本，0034
34	乃	GT-0035	标准电码本，0035
35	久	GT-0036	标准电码本，0036
36	之	GT-0037	标准电码本，0037
37	乍	GT-0038	标准电码本，0038
38	乎	GT-0039	标准电码本，0039
39	乏	GT-0040	标准电码本，0040
40	乖	GT-0041	标准电码本，0041
41	乘	GT-0042	标准电码本，0042
42	桉	GT-0043	标准电码本，0043
43	乙	GT-0044	标准电码本，0044
44	乜	GT-0045	标准电码本，0045
45	九	GT-0046	标准电码本，0046
46	乞	GT-0047	标准电码本，0047
47	也	GT-0048	标准电码本，0048
48	乳	GT-0050	标准电码本，0050
49	乾	GT-0051	标准电码本，0051
50	乱	GT-0052	标准电码本，0052
51	凼	GT-0053	标准电码本，0053
52	亅	GT-0054	标准电码本，0054
53	了	GT-0055	标准电码本，0055
54	予	GT-0056	标准电码本，0056
55	事	GT-0057	标准电码本，0057
56	苯	GT-0058	标准电码本，0058
57	二	GT-0059	标准电码本，0059
58	于	GT-0060	标准电码本，0060
59	云	GT-0061	标准电码本，0061
60	互	GT-0062	标准电码本，0062
61	五	GT-0063	标准电码本，0063
62	井	GT-0064	标准电码本，0064
63	些	GT-0067	标准电码本，0067
64	亚	GT-0068	标准电码本，0068
65	亟	GT-0069	标准电码本，0069
66	吡	GT-0070	标准电码本，0070
67	亠	GT-0071	标准电码本，0071
68	亡	GT-0072	标准电码本，0072
69	亢	GT-0073	标准电码本，0073
70	交	GT-0074	标准电码本，0074
71	亥	GT-0075	标准电码本，0075
72	亦	GT-0076	标准电码本，0076
73	亨	GT-0077	标准电码本，0077
74	享	GT-0078	标准电码本，0078
75	京	GT-0079	标准电码本，0079
76	亭	GT-0080	标准电码本，0080
77	亮	GT-0081	标准电码本，0081
78	亳	GT-0082	标准电码本，0082
79	亶	GT-0083	标准电码本，0083
80	醭	GT-0085	标准电码本，0085
81	人	GT-0086	标准电码本，0086
82	什	GT-0087	标准电码本，0087
83	仁	GT-0088	标准电码本，0088
84	仃	GT-0089	标准电码本，0089
85	仄	GT-0090	标准电码本，0090
86	仆	GT-0091	标准电码本，0091
87	仇	GT-0092	标准电码本，0092
88	今	GT-0093	标准电码本，0093
89	介	GT-0094	标准电码本，0094
90	仍	GT-0095	标准电码本，0095
91	佣	GT-0096	标准电码本，0096
92	佬	GT-0097	标准电码本，0097
93	仔	GT-0098	标准电码本，0098
94	仕	GT-0099	标准电码本，0099
95	他	GT-0100	标准电码本，0100
96	仗	GT-0101	标准电码本，0101
97	付	GT-0102	标准电码本，0102
98	仙	GT-0103	标准电码本，0103
99	仝	GT-0104	标准电码本，0104
100	仞	GT-0105	标准电码本，0105
101	仡	GT-0106	标准电码本，0106
102	仟	GT-0107	标准电码本，0107
103	代	GT-0108	标准电码本，0108
104	令	GT-0109	标准电码本，0109
105	以	GT-0110	标准电码本，0110
106	仰	GT-0111	标准电码本，0111
107	仲	GT-0112	标准电码本，0112
108	仳	GT-0113	标准电码本，0113
109	仵	GT-0114	标准电码本，0114
110	件	GT-0115	标准电码本，0115
111	价	GT-0116	标准电码本，0116
112	任	GT-0117	标准电码本，0117
113	份	GT-0118	标准电码本，0118
114	仿	GT-0119	标准电码本，0119
115	企	GT-0120	标准电码本，0120
116	伉	GT-0121	标准电码本，0121
117	伊	GT-0122	标准电码本，0122
118	伋	GT-0123	标准电码本，0123
119	伍	GT-0124	标准电码本，0124
120	伎	GT-0125	标准电码本，0125
121	伏	GT-0126	标准电码本，0126
122	伐	GT-0127	标准电码本，0127
123	休	GT-0128	标准电码本，0128
124	伙	GT-0129	标准电码本，0129
125	伯	GT-0130	标准电码本，0130
126	估	GT-0131	标准电码本，0131
127	你	GT-0132	标准电码本，0132
128	伴	GT-0133	标准电码本，0133
129	伶	GT-0134	标准电码本，0134
130	伸	GT-0135	标准电码本，0135
131	伺	GT-0136	标准电码本，0136
132	伻	GT-0137	标准电码本，0137
133	似	GT-0138	标准电码本，0138
134	倮	GT-0139	标准电码本，0139
135	佃	GT-0140	标准电码本，0140
136	但	GT-0141	标准电码本，0141
137	位	GT-0143	标准电码本，0143
138	低	GT-0144	标准电码本，0144
139	住	GT-0145	标准电码本，0145
140	佐	GT-0146	标准电码本，0146
141	佑	GT-0147	标准电码本，0147
142	何	GT-0149	标准电码本，0149
143	佗	GT-0150	标准电码本，0150
144	余	GT-0151	标准电码本，0151
145	佘	GT-0152	标准电码本，0152
146	佚	GT-0153	标准电码本，0153
147	佛	GT-0154	标准电码本，0154
148	作	GT-0155	标准电码本，0155
149	佞	GT-0156	标准电码本，0156
150	佟	GT-0157	标准电码本，0157
151	佺	GT-0158	标准电码本，0158
152	佩	GT-0160	标准电码本，0160
153	伢	GT-0161	标准电码本，0161
154	佯	GT-0162	标准电码本，0162
155	佳	GT-0163	标准电码本，0163
156	佶	GT-0165	标准电码本，0165
157	佝	GT-0166	标准电码本，0166
158	佻	GT-0167	标准电码本，0167
159	佾	GT-0168	标准电码本，0168
160	使	GT-0169	标准电码本，0169
161	侃	GT-0170	标准电码本，0170
162	来	GT-0171	标准电码本，0171
163	侈	GT-0172	标准电码本，0172
164	例	GT-0173	标准电码本，0173
165	侍	GT-0174	标准电码本，0174
166	侏	GT-0175	标准电码本，0175
167	侑	GT-0176	标准电码本，0176
168	侔	GT-0177	标准电码本，0177
169	仑	GT-0178	标准电码本，0178
170	侗	GT-0179	标准电码本，0179
171	供	GT-0180	标准电码本，0180
172	依	GT-0181	标准电码本，0181
173	伕	GT-0183	标准电码本，0183
174	佰	GT-0184	标准电码本，0184
175	侮	GT-0185	标准电码本，0185
176	侯	GT-0186	标准电码本，0186
177	侵	GT-0187	标准电码本，0187
178	侣	GT-0188	标准电码本，0188
179	便	GT-0189	标准电码本，0189
180	促	GT-0191	标准电码本，0191
181	俄	GT-0192	标准电码本，0192
182	俊	GT-0193	标准电码本，0193
183	俎	GT-0194	标准电码本，0194
184	俏	GT-0195	标准电码本，0195
185	俐	GT-0196	标准电码本，0196
186	俑	GT-0197	标准电码本，0197
187	俗	GT-0198	标准电码本，0198
188	俘	GT-0199	标准电码本，0199
189	俚	GT-0200	标准电码本，0200
190	佡	GT-0201	标准电码本，0201
191	保	GT-0202	标准电码本，0202
192	俟	GT-0203	标准电码本，0203
193	侠	GT-0204	标准电码本，0204
194	俞	GT-0205	标准电码本，0205
195	俫	GT-0206	标准电码本，0206
196	信	GT-0207	标准电码本，0207
197	修	GT-0208	标准电码本，0208
198	俶	GT-0209	标准电码本，0209
199	伥	GT-0210	标准电码本，0210
200	働	GT-0211	标准电码本，0211
201	倌	GT-0212	标准电码本，0212
202	倬	GT-0213	标准电码本，0213
203	俯	GT-0214	标准电码本，0214
204	俱	GT-0215	标准电码本，0215
205	俳	GT-0216	标准电码本，0216
206	俵	GT-0217	标准电码本，0217
207	俸	GT-0218	标准电码本，0218
208	俺	GT-0219	标准电码本，0219
209	俾	GT-0220	标准电码本，0220
210	仓	GT-0221	标准电码本，0221
211	倍	GT-0223	标准电码本，0223
212	俩	GT-0224	标准电码本，0224
213	倏	GT-0225	标准电码本，0225
214	们	GT-0226	标准电码本，0226
215	倒	GT-0227	标准电码本，0227
216	倘	GT-0229	标准电码本，0229
217	候	GT-0230	标准电码本，0230
218	倚	GT-0231	标准电码本，0231
219	倜	GT-0232	标准电码本，0232
220	借	GT-0234	标准电码本，0234
221	倡	GT-0235	标准电码本，0235
222	值	GT-0237	标准电码本，0237
223	倥	GT-0238	标准电码本，0238
224	倦	GT-0239	标准电码本，0239
225	倨	GT-0240	标准电码本，0240
226	倩	GT-0241	标准电码本，0241
227	倪	GT-0242	标准电码本，0242
228	伦	GT-0243	标准电码本，0243
229	倭	GT-0244	标准电码本，0244
230	偈	GT-0245	标准电码本，0245
231	偎	GT-0246	标准电码本，0246
232	傻	GT-0247	标准电码本，0247
233	偃	GT-0249	标准电码本，0249
234	假	GT-0250	标准电码本，0250
235	伟	GT-0251	标准电码本，0251
236	偏	GT-0252	标准电码本，0252
237	偕	GT-0253	标准电码本，0253
238	做	GT-0254	标准电码本，0254
239	停	GT-0255	标准电码本，0255
240	健	GT-0256	标准电码本，0256
241	侧	GT-0258	标准电码本，0258
242	侦	GT-0259	标准电码本，0259
243	偶	GT-0260	标准电码本，0260
244	仫	GT-0261	标准电码本，0261
245	偷	GT-0262	标准电码本，0262
246	伧	GT-0263	标准电码本，0263
247	傀	GT-0264	标准电码本，0264
248	傅	GT-0265	标准电码本，0265
249	傍	GT-0266	标准电码本，0266
250	傑	GT-0267	标准电码本，0267
251	傒	GT-0268	标准电码本，0268
252	傈	GT-0269	标准电码本，0269
253	伞	GT-0270	标准电码本，0270
254	备	GT-0271	标准电码本，0271
255	催	GT-0275	标准电码本，0275
256	傲	GT-0277	标准电码本，0277
257	传	GT-0278	标准电码本，0278
258	伛	GT-0279	标准电码本，0279
259	债	GT-0280	标准电码本，0280
260	伤	GT-0281	标准电码本，0281
261	倾	GT-0282	标准电码本，0282
262	偻	GT-0283	标准电码本，0283
263	仅	GT-0284	标准电码本，0284
264	佥	GT-0286	标准电码本，0286
265	僳	GT-0287	标准电码本，0287
266	像	GT-0288	标准电码本，0288
267	僦	GT-0291	标准电码本，0291
268	偾	GT-0292	标准电码本，0292
269	侨	GT-0294	标准电码本，0294
270	僖	GT-0296	标准电码本，0296
271	僚	GT-0297	标准电码本，0297
272	伪	GT-0298	标准电码本，0298
273	侥	GT-0299	标准电码本，0299
274	僧	GT-0300	标准电码本，0300
275	僭	GT-0301	标准电码本，0301
276	僮	GT-0302	标准电码本，0302
277	僵	GT-0304	标准电码本，0304
278	僻	GT-0306	标准电码本，0306
279	仪	GT-0308	标准电码本，0308
280	侬	GT-0309	标准电码本，0309
281	亿	GT-0310	标准电码本，0310
282	儆	GT-0311	标准电码本，0311
283	侩	GT-0312	标准电码本，0312
284	俭	GT-0313	标准电码本，0313
285	傤	GT-0314	标准电码本，0314
286	僰	GT-0316	标准电码本，0316
287	儋	GT-0317	标准电码本，0317
288	儇	GT-0318	标准电码本，0318
289	傧	GT-0319	标准电码本，0319
290	儒	GT-0320	标准电码本，0320
291	俦	GT-0321	标准电码本，0321
292	侪	GT-0322	标准电码本，0322
293	偿	GT-0326	标准电码本，0326
294	优	GT-0327	标准电码本，0327
295	储	GT-0328	标准电码本，0328
296	俪	GT-0330	标准电码本，0330
297	傥	GT-0331	标准电码本，0331
298	俨	GT-0332	标准电码本，0332
299	儿	GT-0334	标准电码本，0334
300	兀	GT-0335	标准电码本，0335
301	允	GT-0336	标准电码本，0336
302	元	GT-0337	标准电码本，0337
303	兄	GT-0338	标准电码本，0338
304	充	GT-0339	标准电码本，0339
305	兆	GT-0340	标准电码本，0340
306	先	GT-0341	标准电码本，0341
307	光	GT-0342	标准电码本，0342
308	克	GT-0344	标准电码本，0344
309	兑	GT-0345	标准电码本，0345
310	免	GT-0346	标准电码本，0346
311	兔	GT-0347	标准电码本，0347
312	兕	GT-0349	标准电码本，0349
313	兖	GT-0350	标准电码本，0350
314	兜	GT-0351	标准电码本，0351
315	兢	GT-0352	标准电码本，0352
316	入	GT-0354	标准电码本，0354
317	内	GT-0355	标准电码本，0355
318	全	GT-0356	标准电码本，0356
319	两	GT-0357	标准电码本，0357
320	钚	GT-0359	标准电码本，0359
321	八	GT-0360	标准电码本，0360
322	公	GT-0361	标准电码本，0361
323	六	GT-0362	标准电码本，0362
324	兮	GT-0363	标准电码本，0363
325	共	GT-0364	标准电码本，0364
326	兵	GT-0365	标准电码本，0365
327	其	GT-0366	标准电码本，0366
328	具	GT-0367	标准电码本，0367
329	典	GT-0368	标准电码本，0368
330	兼	GT-0369	标准电码本，0369
331	冀	GT-0370	标准电码本，0370
332	糍	GT-0371	标准电码本，0371
333	冂	GT-0372	标准电码本，0372
334	冉	GT-0373	标准电码本，0373
335	册	GT-0374	标准电码本，0374
336	再	GT-0375	标准电码本，0375
337	冏	GT-0376	标准电码本，0376
338	冇	GT-0377	标准电码本，0377
339	冒	GT-0379	标准电码本，0379
340	冕	GT-0380	标准电码本，0380
341	镩	GT-0381	标准电码本，0381
342	冖	GT-0382	标准电码本，0382
343	冗	GT-0383	标准电码本，0383
344	冠	GT-0385	标准电码本，0385
345	冢	GT-0386	标准电码本，0386
346	冤	GT-0387	标准电码本，0387
347	冥	GT-0388	标准电码本，0388
348	幂	GT-0389	标准电码本，0389
349	耖	GT-0390	标准电码本，0390
350	冫	GT-0391	标准电码本，0391
351	冬	GT-0392	标准电码本，0392
352	冰	GT-0393	标准电码本，0393
353	冲	GT-0394	标准电码本，0394
354	冱	GT-0395	标准电码本，0395
355	冶	GT-0396	标准电码本，0396
356	冷	GT-0397	标准电码本，0397
357	冮	GT-0398	标准电码本，0398
358	冽	GT-0399	标准电码本，0399
359	况	GT-0400	标准电码本，0400
360	凄	GT-0401	标准电码本，0401
361	准	GT-0402	标准电码本，0402
362	净	GT-0403	标准电码本，0403
363	凉	GT-0404	标准电码本，0404
364	冼	GT-0405	标准电码本，0405
365	凋	GT-0406	标准电码本，0406
366	凌	GT-0407	标准电码本，0407
367	冻	GT-0408	标准电码本，0408
368	凑	GT-0410	标准电码本，0410
369	凛	GT-0412	标准电码本，0412
370	凝	GT-0413	标准电码本，0413
371	决	GT-0414	标准电码本，0414
372	几	GT-0415	标准电码本，0415
373	凡	GT-0416	标准电码本，0416
374	凭	GT-0417	标准电码本，0417
375	凯	GT-0418	标准电码本，0418
376	凳	GT-0419	标准电码本，0419
377	凰	GT-0420	标准电码本，0420
378	茌	GT-0421	标准电码本，0421
379	凵	GT-0422	标准电码本，0422
380	凶	GT-0423	标准电码本，0423
381	凸	GT-0424	标准电码本，0424
382	凹	GT-0425	标准电码本，0425
383	出	GT-0427	标准电码本，0427
384	函	GT-0428	标准电码本，0428
385	菪	GT-0429	标准电码本，0429
386	刀	GT-0430	标准电码本，0430
387	刁	GT-0431	标准电码本，0431
388	刃	GT-0432	标准电码本，0432
389	分	GT-0433	标准电码本，0433
390	切	GT-0434	标准电码本，0434
391	刈	GT-0435	标准电码本，0435
392	刊	GT-0436	标准电码本，0436
393	刎	GT-0437	标准电码本，0437
394	刑	GT-0438	标准电码本，0438
395	划	GT-0439	标准电码本，0439
396	刖	GT-0440	标准电码本，0440
397	列	GT-0441	标准电码本，0441
398	刨	GT-0442	标准电码本，0442
399	初	GT-0443	标准电码本，0443
400	删	GT-0444	标准电码本，0444
401	判	GT-0445	标准电码本，0445
402	别	GT-0446	标准电码本，0446
403	利	GT-0448	标准电码本，0448
404	剁	GT-0449	标准电码本，0449
405	刮	GT-0450	标准电码本，0450
406	到	GT-0451	标准电码本，0451
407	刲	GT-0452	标准电码本，0452
408	刳	GT-0453	标准电码本，0453
409	制	GT-0455	标准电码本，0455
410	刷	GT-0456	标准电码本，0456
411	券	GT-0457	标准电码本，0457
412	刹	GT-0458	标准电码本，0458
413	刺	GT-0459	标准电码本，0459
414	剃	GT-0461	标准电码本，0461
415	刭	GT-0462	标准电码本，0462
416	则	GT-0463	标准电码本，0463
417	削	GT-0465	标准电码本，0465
418	刻	GT-0466	标准电码本，0466
419	前	GT-0467	标准电码本，0467
420	剜	GT-0468	标准电码本，0468
421	剌	GT-0469	标准电码本，0469
422	剡	GT-0470	标准电码本，0470
423	剔	GT-0471	标准电码本，0471
424	剖	GT-0472	标准电码本，0472
425	刬	GT-0473	标准电码本，0473
426	刚	GT-0474	标准电码本，0474
427	剥	GT-0475	标准电码本，0475
428	剩	GT-0476	标准电码本，0476
429	剪	GT-0477	标准电码本，0477
430	剐	GT-0478	标准电码本，0478
431	副	GT-0479	标准电码本，0479
432	割	GT-0480	标准电码本，0480
433	剀	GT-0481	标准电码本，0481
434	创	GT-0482	标准电码本，0482
435	剽	GT-0484	标准电码本，0484
436	剿	GT-0485	标准电码本，0485
437	剧	GT-0489	标准电码本，0489
438	劈	GT-0490	标准电码本，0490
439	刘	GT-0491	标准电码本，0491
440	刽	GT-0492	标准电码本，0492
441	剑	GT-0494	标准电码本，0494
442	剂	GT-0495	标准电码本，0495
443	劓	GT-0496	标准电码本，0496
444	劘	GT-0497	标准电码本，0497
445	剅	GT-0499	标准电码本，0499
446	力	GT-0500	标准电码本，0500
447	功	GT-0501	标准电码本，0501
448	加	GT-0502	标准电码本，0502
449	劣	GT-0503	标准电码本，0503
450	助	GT-0504	标准电码本，0504
451	努	GT-0505	标准电码本，0505
452	劫	GT-0506	标准电码本，0506
453	劬	GT-0507	标准电码本，0507
454	劭	GT-0508	标准电码本，0508
455	効	GT-0509	标准电码本，0509
456	劻	GT-0510	标准电码本，0510
457	劾	GT-0511	标准电码本，0511
458	劼	GT-0512	标准电码本，0512
459	劲	GT-0513	标准电码本，0513
460	勃	GT-0514	标准电码本，0514
461	勐	GT-0515	标准电码本，0515
462	勇	GT-0516	标准电码本，0516
463	勉	GT-0517	标准电码本，0517
464	勍	GT-0518	标准电码本，0518
465	勒	GT-0519	标准电码本，0519
466	动	GT-0520	标准电码本，0520
467	勖	GT-0521	标准电码本，0521
468	勘	GT-0522	标准电码本，0522
469	务	GT-0523	标准电码本，0523
470	胜	GT-0524	标准电码本，0524
471	劳	GT-0525	标准电码本，0525
472	募	GT-0527	标准电码本，0527
473	势	GT-0528	标准电码本，0528
474	勤	GT-0530	标准电码本，0530
475	勚	GT-0532	标准电码本，0532
476	勰	GT-0533	标准电码本，0533
477	勳	GT-0534	标准电码本，0534
478	劢	GT-0535	标准电码本，0535
479	励	GT-0536	标准电码本，0536
480	勷	GT-0537	标准电码本，0537
481	劝	GT-0538	标准电码本，0538
482	锝	GT-0539	标准电码本，0539
483	勹	GT-0540	标准电码本，0540
484	勺	GT-0541	标准电码本，0541
485	匀	GT-0542	标准电码本，0542
486	勿	GT-0543	标准电码本，0543
487	包	GT-0545	标准电码本，0545
488	匈	GT-0546	标准电码本，0546
489	匊	GT-0547	标准电码本，0547
490	匍	GT-0548	标准电码本，0548
491	匏	GT-0549	标准电码本，0549
492	匐	GT-0550	标准电码本，0550
493	勾	GT-0551	标准电码本，0551
494	匕	GT-0552	标准电码本，0552
495	化	GT-0553	标准电码本，0553
496	北	GT-0554	标准电码本，0554
497	匙	GT-0555	标准电码本，0555
498	碲	GT-0556	标准电码本，0556
499	匚	GT-0557	标准电码本，0557
500	匜	GT-0558	标准电码本，0558
501	匝	GT-0559	标准电码本，0559
502	匠	GT-0561	标准电码本，0561
503	匡	GT-0562	标准电码本，0562
504	匣	GT-0563	标准电码本，0563
505	匪	GT-0564	标准电码本，0564
506	汇	GT-0565	标准电码本，0565
507	匮	GT-0566	标准电码本，0566
508	匦	GT-0567	标准电码本，0567
509	啶	GT-0570	标准电码本，0570
510	匸	GT-0571	标准电码本，0571
511	匹	GT-0572	标准电码本，0572
512	匾	GT-0573	标准电码本，0573
513	匿	GT-0574	标准电码本，0574
514	区	GT-0575	标准电码本，0575
515	铥	GT-0576	标准电码本，0576
516	十	GT-0577	标准电码本，0577
517	千	GT-0578	标准电码本，0578
518	廿	GT-0579	标准电码本，0579
519	卅	GT-0580	标准电码本，0580
520	升	GT-0581	标准电码本，0581
521	午	GT-0582	标准电码本，0582
522	卉	GT-0583	标准电码本，0583
523	半	GT-0584	标准电码本，0584
524	卑	GT-0585	标准电码本，0585
525	卒	GT-0586	标准电码本，0586
526	卓	GT-0587	标准电码本，0587
527	协	GT-0588	标准电码本，0588
528	南	GT-0589	标准电码本，0589
529	博	GT-0590	标准电码本，0590
530	卜	GT-0592	标准电码本，0592
531	卞	GT-0593	标准电码本，0593
532	占	GT-0594	标准电码本，0594
533	卡	GT-0595	标准电码本，0595
534	卣	GT-0596	标准电码本，0596
535	卦	GT-0597	标准电码本，0597
536	氡	GT-0598	标准电码本，0598
537	卩	GT-0599	标准电码本，0599
538	卯	GT-0602	标准电码本，0602
539	印	GT-0603	标准电码本，0603
540	危	GT-0604	标准电码本，0604
541	却	GT-0606	标准电码本，0606
542	卵	GT-0607	标准电码本，0607
543	卷	GT-0608	标准电码本，0608
544	卸	GT-0609	标准电码本，0609
545	卺	GT-0610	标准电码本，0610
546	卮	GT-0612	标准电码本，0612
547	即	GT-0613	标准电码本，0613
548	卿	GT-0615	标准电码本，0615
549	胨	GT-0616	标准电码本，0616
550	厂	GT-0617	标准电码本，0617
551	厄	GT-0618	标准电码本，0618
552	厘	GT-0622	标准电码本，0622
553	厍	GT-0623	标准电码本，0623
554	厚	GT-0624	标准电码本，0624
555	厝	GT-0625	标准电码本，0625
556	原	GT-0626	标准电码本，0626
557	厕	GT-0627	标准电码本，0627
558	厥	GT-0628	标准电码本，0628
559	厌	GT-0630	标准电码本，0630
560	厮	GT-0631	标准电码本，0631
561	厉	GT-0632	标准电码本，0632
562	厦	GT-0633	标准电码本，0633
563	胴	GT-0634	标准电码本，0634
564	厶	GT-0635	标准电码本，0635
565	去	GT-0637	标准电码本，0637
566	叁	GT-0638	标准电码本，0638
567	参	GT-0639	标准电码本，0639
568	塅	GT-0641	标准电码本，0641
569	又	GT-0642	标准电码本，0642
570	叉	GT-0643	标准电码本，0643
571	及	GT-0644	标准电码本，0644
572	友	GT-0645	标准电码本，0645
573	反	GT-0646	标准电码本，0646
574	叔	GT-0647	标准电码本，0647
575	取	GT-0648	标准电码本，0648
576	受	GT-0649	标准电码本，0649
577	叙	GT-0650	标准电码本，0650
578	叛	GT-0651	标准电码本，0651
579	叟	GT-0652	标准电码本，0652
580	丛	GT-0654	标准电码本，0654
581	叠	GT-0655	标准电码本，0655
582	口	GT-0656	标准电码本，0656
583	古	GT-0657	标准电码本，0657
584	句	GT-0658	标准电码本，0658
585	另	GT-0659	标准电码本，0659
586	叨	GT-0660	标准电码本，0660
587	叩	GT-0661	标准电码本，0661
588	只	GT-0662	标准电码本，0662
589	叫	GT-0663	标准电码本，0663
590	召	GT-0664	标准电码本，0664
591	叭	GT-0665	标准电码本，0665
592	叮	GT-0666	标准电码本，0666
593	叱	GT-0667	标准电码本，0667
594	可	GT-0668	标准电码本，0668
595	台	GT-0669	标准电码本，0669
596	史	GT-0670	标准电码本，0670
597	右	GT-0671	标准电码本，0671
598	叵	GT-0672	标准电码本，0672
599	叶	GT-0673	标准电码本，0673
600	司	GT-0674	标准电码本，0674
601	吁	GT-0675	标准电码本，0675
602	吃	GT-0676	标准电码本，0676
603	各	GT-0677	标准电码本，0677
604	合	GT-0678	标准电码本，0678
605	吉	GT-0679	标准电码本，0679
606	吊	GT-0680	标准电码本，0680
607	同	GT-0681	标准电码本，0681
608	名	GT-0682	标准电码本，0682
609	后	GT-0683	标准电码本，0683
610	吏	GT-0684	标准电码本，0684
611	吐	GT-0685	标准电码本，0685
612	向	GT-0686	标准电码本，0686
613	吓	GT-0687	标准电码本，0687
614	君	GT-0689	标准电码本，0689
615	吝	GT-0690	标准电码本，0690
616	吞	GT-0691	标准电码本，0691
617	吟	GT-0692	标准电码本，0692
618	吠	GT-0693	标准电码本，0693
619	否	GT-0694	标准电码本，0694
620	吩	GT-0695	标准电码本，0695
621	咐	GT-0696	标准电码本，0696
622	吆	GT-0697	标准电码本，0697
623	含	GT-0698	标准电码本，0698
624	吭	GT-0699	标准电码本，0699
625	吮	GT-0700	标准电码本，0700
626	呈	GT-0701	标准电码本，0701
627	吴	GT-0702	标准电码本，0702
628	吵	GT-0703	标准电码本，0703
629	呐	GT-0704	标准电码本，0704
630	吸	GT-0705	标准电码本，0705
631	吹	GT-0706	标准电码本，0706
632	告	GT-0707	标准电码本，0707
633	吻	GT-0708	标准电码本，0708
634	吼	GT-0709	标准电码本，0709
635	吾	GT-0710	标准电码本，0710
636	呀	GT-0711	标准电码本，0711
637	吕	GT-0712	标准电码本，0712
638	呃	GT-0713	标准电码本，0713
639	呆	GT-0714	标准电码本，0714
640	咂	GT-0715	标准电码本，0715
641	呢	GT-0716	标准电码本，0716
642	呦	GT-0717	标准电码本，0717
643	呋	GT-0718	标准电码本，0718
644	周	GT-0719	标准电码本，0719
645	咒	GT-0720	标准电码本，0720
646	吧	GT-0721	标准电码本，0721
647	呱	GT-0722	标准电码本，0722
648	味	GT-0724	标准电码本，0724
649	呵	GT-0725	标准电码本，0725
650	呶	GT-0726	标准电码本，0726
651	呷	GT-0727	标准电码本，0727
652	呻	GT-0728	标准电码本，0728
653	呼	GT-0729	标准电码本，0729
654	命	GT-0730	标准电码本，0730
655	咀	GT-0731	标准电码本，0731
656	咄	GT-0732	标准电码本，0732
657	咆	GT-0733	标准电码本，0733
658	咕	GT-0734	标准电码本，0734
659	和	GT-0735	标准电码本，0735
660	咎	GT-0736	标准电码本，0736
661	咏	GT-0737	标准电码本，0737
662	咋	GT-0738	标准电码本，0738
663	咖	GT-0739	标准电码本，0739
664	哎	GT-0740	标准电码本，0740
665	咤	GT-0741	标准电码本，0741
666	响	GT-0742	标准电码本，0742
667	咪	GT-0743	标准电码本，0743
668	咧	GT-0744	标准电码本，0744
669	咨	GT-0745	标准电码本，0745
670	咫	GT-0746	标准电码本，0746
671	咬	GT-0747	标准电码本，0747
672	咯	GT-0748	标准电码本，0748
673	咱	GT-0749	标准电码本，0749
674	咳	GT-0750	标准电码本，0750
675	咸	GT-0752	标准电码本，0752
676	咽	GT-0754	标准电码本，0754
677	哀	GT-0755	标准电码本，0755
678	品	GT-0756	标准电码本，0756
679	哂	GT-0757	标准电码本，0757
680	哄	GT-0758	标准电码本，0758
681	啊	GT-0759	标准电码本，0759
682	哇	GT-0760	标准电码本，0760
683	哈	GT-0761	标准电码本，0761
684	哉	GT-0762	标准电码本，0762
685	哪	GT-0763	标准电码本，0763
686	咿	GT-0764	标准电码本，0764
687	员	GT-0765	标准电码本，0765
688	哥	GT-0766	标准电码本，0766
689	唔	GT-0767	标准电码本，0767
690	哦	GT-0768	标准电码本，0768
691	哩	GT-0769	标准电码本，0769
692	哭	GT-0770	标准电码本，0770
693	哮	GT-0771	标准电码本，0771
694	哲	GT-0772	标准电码本，0772
695	哺	GT-0773	标准电码本，0773
696	哼	GT-0774	标准电码本，0774
697	哽	GT-0775	标准电码本，0775
698	哿	GT-0776	标准电码本，0776
699	唁	GT-0777	标准电码本，0777
700	唆	GT-0778	标准电码本，0778
701	唉	GT-0780	标准电码本，0780
702	唐	GT-0781	标准电码本，0781
703	唇	GT-0782	标准电码本，0782
704	哨	GT-0783	标准电码本，0783
705	啦	GT-0784	标准电码本，0784
706	唏	GT-0785	标准电码本，0785
707	售	GT-0786	标准电码本，0786
708	唯	GT-0787	标准电码本，0787
