num	glyph	GT-source	description
5741	醪	GT-6828	标准电码本，6828
5742	医	GT-6829	标准电码本，6829
5743	酱	GT-6830	标准电码本，6830
5744	醮	GT-6831	标准电码本，6831
5745	醯	GT-6832	标准电码本，6832
5746	醴	GT-6833	标准电码本，6833
5747	醵	GT-6835	标准电码本，6835
5748	醺	GT-6836	标准电码本，6836
5749	酿	GT-6840	标准电码本，6840
5750	锫	GT-6844	标准电码本，6844
5751	釆	GT-6845	标准电码本，6845
5752	采	GT-6846	标准电码本，6846
5753	释	GT-6847	标准电码本，6847
5754	釉	GT-6848	标准电码本，6848
5755	里	GT-6849	标准电码本，6849
5756	重	GT-6850	标准电码本，6850
5757	野	GT-6851	标准电码本，6851
5758	量	GT-6852	标准电码本，6852
5759	锌	GT-6854	标准电码本，6854
5760	金	GT-6855	标准电码本，6855
5761	钊	GT-6856	标准电码本，6856
5762	钉	GT-6857	标准电码本，6857
5763	釜	GT-6858	标准电码本，6858
5764	针	GT-6859	标准电码本，6859
5765	钓	GT-6860	标准电码本，6860
5766	钏	GT-6861	标准电码本，6861
5767	钙	GT-6862	标准电码本，6862
5768	钗	GT-6865	标准电码本，6865
5769	钯	GT-6867	标准电码本，6867
5770	钝	GT-6868	标准电码本，6868
5771	钩	GT-6869	标准电码本，6869
5772	钤	GT-6870	标准电码本，6870
5773	钠	GT-6871	标准电码本，6871
5774	钞	GT-6872	标准电码本，6872
5775	钮	GT-6873	标准电码本，6873
5776	钧	GT-6874	标准电码本，6874
5777	铃	GT-6875	标准电码本，6875
5778	钹	GT-6876	标准电码本，6876
5779	钰	GT-6877	标准电码本，6877
5780	钿	GT-6879	标准电码本，6879
5781	钜	GT-6880	标准电码本，6880
5782	铉	GT-6881	标准电码本，6881
5783	钳	GT-6883	标准电码本，6883
5784	铅	GT-6884	标准电码本，6884
5785	钺	GT-6885	标准电码本，6885
5786	钵	GT-6886	标准电码本，6886
5787	铇	GT-6888	标准电码本，6888
5788	铏	GT-6889	标准电码本，6889
5789	铰	GT-6890	标准电码本，6890
5790	钲	GT-6891	标准电码本，6891
5791	银	GT-6892	标准电码本，6892
5792	铳	GT-6893	标准电码本，6893
5793	铜	GT-6894	标准电码本，6894
5794	钴	GT-6895	标准电码本，6895
5795	铂	GT-6896	标准电码本，6896
5796	铣	GT-6897	标准电码本，6897
5797	铨	GT-6898	标准电码本，6898
5798	铢	GT-6899	标准电码本，6899
5799	铭	GT-6900	标准电码本，6900
5800	铦	GT-6901	标准电码本，6901
5801	衔	GT-6902	标准电码本，6902
5802	铫	GT-6903	标准电码本，6903
5803	锐	GT-6904	标准电码本，6904
5804	钾	GT-6905	标准电码本，6905
5805	销	GT-6906	标准电码本，6906
5806	锈	GT-6907	标准电码本，6907
5807	锉	GT-6908	标准电码本，6908
5808	铹	GT-6909	标准电码本，6909
5809	铤	GT-6910	标准电码本，6910
5810	铗	GT-6911	标准电码本，6911
5811	锋	GT-6912	标准电码本，6912
5812	锓	GT-6913	标准电码本，6913
5813	铀	GT-6914	标准电码本，6914
5814	锄	GT-6915	标准电码本，6915
5815	铓	GT-6916	标准电码本，6916
5816	铺	GT-6917	标准电码本，6917
5817	铻	GT-6918	标准电码本，6918
5818	锯	GT-6920	标准电码本，6920
5819	钢	GT-6921	标准电码本，6921
5820	录	GT-6922	标准电码本，6922
5821	锥	GT-6923	标准电码本，6923
5822	锟	GT-6924	标准电码本，6924
5823	锤	GT-6925	标准电码本，6925
5824	锱	GT-6926	标准电码本，6926
5825	铮	GT-6927	标准电码本，6927
5826	锭	GT-6928	标准电码本，6928
5827	钱	GT-6929	标准电码本，6929
5828	锦	GT-6930	标准电码本，6930
5829	锚	GT-6931	标准电码本，6931
5830	锡	GT-6932	标准电码本，6932
5831	锢	GT-6933	标准电码本，6933
5832	错	GT-6934	标准电码本，6934
5833	锛	GT-6935	标准电码本，6935
5834	锜	GT-6936	标准电码本，6936
5835	锅	GT-6938	标准电码本，6938
5836	锻	GT-6939	标准电码本，6939
5837	铋	GT-6940	标准电码本，6940
5838	铵	GT-6941	标准电码本，6941
5839	锹	GT-6942	标准电码本，6942
5840	键	GT-6943	标准电码本，6943
5841	锺	GT-6945	标准电码本，6945
5842	锴	GT-6946	标准电码本，6946
5843	镀	GT-6947	标准电码本，6947
5844	锷	GT-6948	标准电码本，6948
5845	锽	GT-6949	标准电码本，6949
5846	锸	GT-6950	标准电码本，6950
5847	锲	GT-6951	标准电码本，6951
5848	锾	GT-6953	标准电码本，6953
5849	锁	GT-6956	标准电码本，6956
5850	锘	GT-6959	标准电码本，6959
5851	镃	GT-6961	标准电码本，6961
5852	铠	GT-6963	标准电码本，6963
5853	镐	GT-6964	标准电码本，6964
5854	镒	GT-6965	标准电码本，6965
