num	glyph	GE-source	description
123	僲	GE-313D	GB/T 16500—1998，17—29
124	僴	GE-313E	GB/T 16500—1998，17—30
125	僷	GE-313F	GB/T 16500—1998，17—31
126	僺	GE-3140	GB/T 16500—1998，17—32
127	儁	GE-3141	GB/T 16500—1998，17—33
128	儊	GE-3142	GB/T 16500—1998，17—34
129	儌	GE-3143	GB/T 16500—1998，17—35
130	儏	GE-3144	GB/T 16500—1998，17—36
131	儖	GE-3145	GB/T 16500—1998，17—37
132	儗	GE-3146	GB/T 16500—1998，17—38
133	儙	GE-3147	GB/T 16500—1998，17—39
134	儝	GE-3148	GB/T 16500—1998，17—40
135	儞	GE-3149	GB/T 16500—1998，17—41
136	儨	GE-314A	GB/T 16500—1998，17—42
137	儬	GE-314B	GB/T 16500—1998，17—43
138	儮	GE-314C	GB/T 16500—1998，17—44
139	儯	GE-314D	GB/T 16500—1998，17—45
140	儵	GE-314E	GB/T 16500—1998，17—46
141	儽	GE-314F	GB/T 16500—1998，17—47
142	兂	GE-3150	GB/T 16500—1998，17—48
143	兇	GE-3151	GB/T 16500—1998，17—49
144	兊	GE-3152	GB/T 16500—1998，17—50
145	兌	GE-3153	GB/T 16500—1998，17—51
146	兎	GE-3154	GB/T 16500—1998，17—52
147	兏	GE-3155	GB/T 16500—1998，17—53
148	児	GE-3156	GB/T 16500—1998，17—54
149	兗	GE-3157	GB/T 16500—1998，17—55
150	兘	GE-3158	GB/T 16500—1998，17—56
151	兙	GE-3159	GB/T 16500—1998，17—57
152	兛	GE-315A	GB/T 16500—1998，17—58
153	兝	GE-315B	GB/T 16500—1998，17—59
154	兞	GE-315C	GB/T 16500—1998，17—60
155	兠	GE-315D	GB/T 16500—1998，17—61
156	兡	GE-315E	GB/T 16500—1998，17—62
157	兣	GE-315F	GB/T 16500—1998，17—63
158	兤	GE-3160	GB/T 16500—1998，17—64
159	兦	GE-3161	GB/T 16500—1998，17—65
160	內	GE-3162	GB/T 16500—1998，17—66
161	兪	GE-3163	GB/T 16500—1998，17—67
162	兲	GE-3164	GB/T 16500—1998，17—68
163	兾	GE-3165	GB/T 16500—1998，17—69
164	兿	GE-3166	GB/T 16500—1998，17—70
165	冃	GE-3167	GB/T 16500—1998，17—71
166	冄	GE-3168	GB/T 16500—1998，17—72
167	円	GE-3169	GB/T 16500—1998，17—73
168	冊	GE-316A	GB/T 16500—1998，17—74
169	冋	GE-316B	GB/T 16500—1998，17—75
170	冐	GE-316C	GB/T 16500—1998，17—76
171	冑	GE-316D	GB/T 16500—1998，17—77
172	冝	GE-316E	GB/T 16500—1998，17—78
173	冣	GE-316F	GB/T 16500—1998，17—79
174	冦	GE-3170	GB/T 16500—1998，17—80
175	冩	GE-3171	GB/T 16500—1998，17—81
176	冪	GE-3172	GB/T 16500—1998，17—82
177	冭	GE-3173	GB/T 16500—1998，17—83
178	冴	GE-3174	GB/T 16500—1998，17—84
179	冺	GE-3175	GB/T 16500—1998，17—85
180	凂	GE-3176	GB/T 16500—1998，17—86
181	凓	GE-3177	GB/T 16500—1998，17—87
182	凖	GE-3178	GB/T 16500—1998，17—88
183	凙	GE-3179	GB/T 16500—1998，17—89
184	凜	GE-317A	GB/T 16500—1998，17—90
185	凞	GE-317B	GB/T 16500—1998，17—91
186	凢	GE-317C	GB/T 16500—1998，17—92
187	凣	GE-317D	GB/T 16500—1998，17—93
188	処	GE-317E	GB/T 16500—1998，17—94
189	凧	GE-3221	GB/T 16500—1998，18—01
190	凩	GE-3222	GB/T 16500—1998，18—02
191	凪	GE-3223	GB/T 16500—1998，18—03
192	凮	GE-3224	GB/T 16500—1998，18—04
193	凲	GE-3225	GB/T 16500—1998，18—05
194	凴	GE-3226	GB/T 16500—1998，18—06
195	凾	GE-3227	GB/T 16500—1998，18—07
196	刄	GE-3228	GB/T 16500—1998，18—08
197	刅	GE-3229	GB/T 16500—1998，18—09
198	刋	GE-322A	GB/T 16500—1998，18—10
199	刔	GE-322B	GB/T 16500—1998，18—11
200	刟	GE-322C	GB/T 16500—1998，18—12
201	刣	GE-322D	GB/T 16500—1998，18—13
