num	glyph	GE-source	description
533	姄	GE-355F	GB/T 16500—1998，21—63
534	姉	GE-3560	GB/T 16500—1998，21—64
535	姍	GE-3561	GB/T 16500—1998，21—65
536	姙	GE-3562	GB/T 16500—1998，21—66
537	姢	GE-3563	GB/T 16500—1998，21—67
538	姦	GE-3564	GB/T 16500—1998，21—68
539	姪	GE-3565	GB/T 16500—1998，21—69
540	姭	GE-3566	GB/T 16500—1998，21—70
541	姸	GE-3567	GB/T 16500—1998，21—71
542	姾	GE-3568	GB/T 16500—1998，21—72
543	娏	GE-3569	GB/T 16500—1998，21—73
544	娚	GE-356A	GB/T 16500—1998，21—74
545	娛	GE-356B	GB/T 16500—1998，21—75
546	娢	GE-356C	GB/T 16500—1998，21—76
547	娤	GE-356D	GB/T 16500—1998，21—77
548	娦	GE-356E	GB/T 16500—1998，21—78
549	娮	GE-356F	GB/T 16500—1998，21—79
550	娯	GE-3570	GB/T 16500—1998，21—80
551	娰	GE-3571	GB/T 16500—1998，21—81
552	娳	GE-3572	GB/T 16500—1998，21—82
553	娿	GE-3573	GB/T 16500—1998，21—83
554	婃	GE-3574	GB/T 16500—1998，21—84
555	婅	GE-3575	GB/T 16500—1998，21—85
556	婇	GE-3576	GB/T 16500—1998，21—86
557	婐	GE-3577	GB/T 16500—1998，21—87
558	婒	GE-3578	GB/T 16500—1998，21—88
559	婔	GE-3579	GB/T 16500—1998，21—89
560	婖	GE-357A	GB/T 16500—1998，21—90
561	婛	GE-357B	GB/T 16500—1998，21—91
562	婝	GE-357C	GB/T 16500—1998，21—92
563	婣	GE-357D	GB/T 16500—1998，21—93
564	婬	GE-357E	GB/T 16500—1998，21—94
565	婮	GE-3621	GB/T 16500—1998，22—01
566	婯	GE-3622	GB/T 16500—1998，22—02
567	婱	GE-3623	GB/T 16500—1998，22—03
568	婲	GE-3624	GB/T 16500—1998，22—04
569	婾	GE-3625	GB/T 16500—1998，22—05
570	媇	GE-3626	GB/T 16500—1998，22—06
571	媈	GE-3627	GB/T 16500—1998，22—07
572	媍	GE-3628	GB/T 16500—1998，22—08
573	媘	GE-3629	GB/T 16500—1998，22—09
574	媙	GE-362A	GB/T 16500—1998，22—10
575	媡	GE-362B	GB/T 16500—1998，22—11
576	媫	GE-362C	GB/T 16500—1998，22—12
577	媬	GE-362D	GB/T 16500—1998，22—13
578	媯	GE-362E	GB/T 16500—1998，22—14
579	媼	GE-362F	GB/T 16500—1998，22—15
580	媿	GE-3630	GB/T 16500—1998，22—16
581	嫋	GE-3631	GB/T 16500—1998，22—17
582	嫍	GE-3632	GB/T 16500—1998，22—18
583	嫐	GE-3633	GB/T 16500—1998，22—19
584	嫑	GE-3634	GB/T 16500—1998，22—20
585	嫓	GE-3635	GB/T 16500—1998，22—21
586	嫝	GE-3636	GB/T 16500—1998，22—22
587	嫰	GE-3637	GB/T 16500—1998，22—23
588	嫹	GE-3638	GB/T 16500—1998，22—24
589	嫺	GE-3639	GB/T 16500—1998，22—25
590	嫾	GE-363A	GB/T 16500—1998，22—26
591	嬁	GE-363B	GB/T 16500—1998，22—27
592	嬄	GE-363C	GB/T 16500—1998，22—28
593	嬊	GE-363D	GB/T 16500—1998，22—29
594	嬍	GE-363E	GB/T 16500—1998，22—30
595	嬑	GE-363F	GB/T 16500—1998，22—31
596	嬓	GE-3640	GB/T 16500—1998，22—32
597	嬔	GE-3641	GB/T 16500—1998，22—33
598	嬘	GE-3642	GB/T 16500—1998，22—34
599	嬝	GE-3643	GB/T 16500—1998，22—35
600	嬢	GE-3644	GB/T 16500—1998，22—36
601	嬫	GE-3645	GB/T 16500—1998，22—37
602	嬭	GE-3646	GB/T 16500—1998，22—38
603	嬵	GE-3647	GB/T 16500—1998，22—39
604	嬶	GE-3648	GB/T 16500—1998，22—40
605	嬽	GE-3649	GB/T 16500—1998，22—41
606	嬾	GE-364A	GB/T 16500—1998，22—42
607	孁	GE-364B	GB/T 16500—1998，22—43
608	孏	GE-364C	GB/T 16500—1998，22—44
609	孒	GE-364D	GB/T 16500—1998，22—45
610	孞	GE-364E	GB/T 16500—1998，22—46
611	孠	GE-364F	GB/T 16500—1998，22—47
612	孧	GE-3650	GB/T 16500—1998，22—48
613	孯	GE-3651	GB/T 16500—1998，22—49
614	孲	GE-3652	GB/T 16500—1998，22—50
615	孶	GE-3653	GB/T 16500—1998，22—51
616	孹	GE-3654	GB/T 16500—1998，22—52
617	孼	GE-3655	GB/T 16500—1998，22—53
618	孾	GE-3656	GB/T 16500—1998，22—54
619	宂	GE-3657	GB/T 16500—1998，22—55
620	宆	GE-3658	GB/T 16500—1998，22—56
621	宐	GE-3659	GB/T 16500—1998，22—57
622	宑	GE-365A	GB/T 16500—1998，22—58
623	宒	GE-365B	GB/T 16500—1998，22—59
624	実	GE-365C	GB/T 16500—1998，22—60
625	宨	GE-365D	GB/T 16500—1998，22—61
626	宩	GE-365E	GB/T 16500—1998，22—62
627	宮	GE-365F	GB/T 16500—1998，22—63
628	宯	GE-3660	GB/T 16500—1998，22—64
629	宲	GE-3661	GB/T 16500—1998，22—65
630	宷	GE-3662	GB/T 16500—1998，22—66
631	宺	GE-3663	GB/T 16500—1998，22—67
632	宻	GE-3664	GB/T 16500—1998，22—68
633	宼	GE-3665	GB/T 16500—1998，22—69
634	寀	GE-3666	GB/T 16500—1998，22—70
635	寃	GE-3667	GB/T 16500—1998，22—71
636	寈	GE-3668	GB/T 16500—1998，22—72
637	寑	GE-3669	GB/T 16500—1998，22—73
638	寔	GE-366A	GB/T 16500—1998，22—74
639	寕	GE-366B	GB/T 16500—1998，22—75
640	寗	GE-366C	GB/T 16500—1998，22—76
641	寘	GE-366D	GB/T 16500—1998，22—77
642	寚	GE-366E	GB/T 16500—1998，22—78
643	寛	GE-366F	GB/T 16500—1998，22—79
644	寜	GE-3670	GB/T 16500—1998，22—80
645	寭	GE-3671	GB/T 16500—1998，22—81
646	寯	GE-3672	GB/T 16500—1998，22—82
647	寳	GE-3673	GB/T 16500—1998，22—83
648	対	GE-3674	GB/T 16500—1998，22—84
649	専	GE-3675	GB/T 16500—1998，22—85
650	尐	GE-3676	GB/T 16500—1998，22—86
651	尒	GE-3677	GB/T 16500—1998，22—87
652	尓	GE-3678	GB/T 16500—1998，22—88
653	尙	GE-3679	GB/T 16500—1998，22—89
654	尟	GE-367A	GB/T 16500—1998，22—90
655	尠	GE-367B	GB/T 16500—1998，22—91
656	尡	GE-367C	GB/T 16500—1998，22—92
657	尣	GE-367D	GB/T 16500—1998，22—93
658	尦	GE-367E	GB/T 16500—1998，22—94
659	尩	GE-3721	GB/T 16500—1998，23—01
660	尫	GE-3722	GB/T 16500—1998，23—02
661	尭	GE-3723	GB/T 16500—1998，23—03
662	尮	GE-3724	GB/T 16500—1998，23—04
663	尶	GE-3725	GB/T 16500—1998，23—05
664	屆	GE-3726	GB/T 16500—1998，23—06
665	屍	GE-3727	GB/T 16500—1998，23—07
666	屗	GE-3728	GB/T 16500—1998，23—08
667	屘	GE-3729	GB/T 16500—1998，23—09
668	屛	GE-372A	GB/T 16500—1998，23—10
669	屶	GE-372B	GB/T 16500—1998，23—11
670	屷	GE-372C	GB/T 16500—1998，23—12
671	岀	GE-372D	GB/T 16500—1998，23—13
672	岄	GE-372E	GB/T 16500—1998，23—14
673	岅	GE-372F	GB/T 16500—1998，23—15
674	岆	GE-3730	GB/T 16500—1998，23—16
675	岇	GE-3731	GB/T 16500—1998，23—17
676	岉	GE-3732	GB/T 16500—1998，23—18
677	岲	GE-3733	GB/T 16500—1998，23—19
678	岼	GE-3734	GB/T 16500—1998，23—20
679	峀	GE-3735	GB/T 16500—1998，23—21
680	峅	GE-3736	GB/T 16500—1998，23—22
681	峈	GE-3737	GB/T 16500—1998，23—23
682	峍	GE-3738	GB/T 16500—1998，23—24
683	峑	GE-3739	GB/T 16500—1998，23—25
684	峕	GE-373A	GB/T 16500—1998，23—26
685	峝	GE-373B	GB/T 16500—1998，23—27
686	峠	GE-373C	GB/T 16500—1998，23—28
687	峢	GE-373D	GB/T 16500—1998，23—29
688	峩	GE-373E	GB/T 16500—1998，23—30
689	峯	GE-373F	GB/T 16500—1998，23—31
690	峸	GE-3740	GB/T 16500—1998，23—32
691	崈	GE-3741	GB/T 16500—1998，23—33
692	崉	GE-3742	GB/T 16500—1998，23—34
693	崊	GE-3743	GB/T 16500—1998，23—35
694	崋	GE-3744	GB/T 16500—1998，23—36
695	崏	GE-3745	GB/T 16500—1998，23—37
696	崐	GE-3746	GB/T 16500—1998，23—38
697	崘	GE-3747	GB/T 16500—1998，23—39
698	崰	GE-3748	GB/T 16500—1998，23—40
699	崸	GE-3749	GB/T 16500—1998，23—41
700	嵄	GE-374A	GB/T 16500—1998，23—42
701	嵅	GE-374B	GB/T 16500—1998，23—43
702	嵈	GE-374C	GB/T 16500—1998，23—44
703	嵍	GE-374D	GB/T 16500—1998，23—45
704	嵒	GE-374E	GB/T 16500—1998，23—46
705	嵗	GE-374F	GB/T 16500—1998，23—47
706	嵙	GE-3750	GB/T 16500—1998，23—48
707	嵜	GE-3751	GB/T 16500—1998，23—49
708	嵞	GE-3752	GB/T 16500—1998，23—50
709	嵭	GE-3753	GB/T 16500—1998，23—51
710	嵳	GE-3754	GB/T 16500—1998，23—52
711	嵵	GE-3755	GB/T 16500—1998，23—53
712	嵶	GE-3756	GB/T 16500—1998，23—54
713	嵻	GE-3757	GB/T 16500—1998，23—55
714	嵾	GE-3758	GB/T 16500—1998，23—56
715	嶀	GE-3759	GB/T 16500—1998，23—57
716	嶃	GE-375A	GB/T 16500—1998，23—58
717	嶌	GE-375B	GB/T 16500—1998，23—59
718	嶎	GE-375C	GB/T 16500—1998，23—60
719	嶐	GE-375D	GB/T 16500—1998，23—61
720	嶑	GE-375E	GB/T 16500—1998，23—62
721	嶥	GE-375F	GB/T 16500—1998，23—63
722	嶫	GE-3760	GB/T 16500—1998，23—64
723	嶯	GE-3761	GB/T 16500—1998，23—65
724	嶲	GE-3762	GB/T 16500—1998，23—66
725	嶵	GE-3763	GB/T 16500—1998，23—67
726	嶶	GE-3764	GB/T 16500—1998，23—68
727	嶽	GE-3765	GB/T 16500—1998，23—69
728	嶿	GE-3766	GB/T 16500—1998，23—70
729	巀	GE-3767	GB/T 16500—1998，23—71
730	巈	GE-3768	GB/T 16500—1998，23—72
731	巌	GE-3769	GB/T 16500—1998，23—73
732	巓	GE-376A	GB/T 16500—1998，23—74
733	巕	GE-376B	GB/T 16500—1998，23—75
734	巗	GE-376C	GB/T 16500—1998，23—76
735	巙	GE-376D	GB/T 16500—1998，23—77
736	巚	GE-376E	GB/T 16500—1998，23—78
737	巠	GE-376F	GB/T 16500—1998，23—79
738	巣	GE-3770	GB/T 16500—1998，23—80
739	巵	GE-3771	GB/T 16500—1998，23—81
740	巺	GE-3772	GB/T 16500—1998，23—82
741	巻	GE-3773	GB/T 16500—1998，23—83
742	帀	GE-3774	GB/T 16500—1998，23—84
743	帠	GE-3775	GB/T 16500—1998，23—85
744	帬	GE-3776	GB/T 16500—1998，23—86
745	帯	GE-3777	GB/T 16500—1998，23—87
746	帰	GE-3778	GB/T 16500—1998，23—88
747	帲	GE-3779	GB/T 16500—1998，23—89
748	帿	GE-377A	GB/T 16500—1998，23—90
749	幁	GE-377B	GB/T 16500—1998，23—91
750	幇	GE-377C	GB/T 16500—1998，23—92
751	幉	GE-377D	GB/T 16500—1998，23—93
752	幊	GE-377E	GB/T 16500—1998，23—94
753	幑	GE-3821	GB/T 16500—1998，24—01
754	幙	GE-3822	GB/T 16500—1998，24—02
755	幚	GE-3823	GB/T 16500—1998，24—03
756	幤	GE-3824	GB/T 16500—1998，24—04
757	幥	GE-3825	GB/T 16500—1998，24—05
758	幮	GE-3826	GB/T 16500—1998，24—06
759	幵	GE-3827	GB/T 16500—1998，24—07
760	幷	GE-3828	GB/T 16500—1998，24—08
761	広	GE-3829	GB/T 16500—1998，24—09
762	庅	GE-382A	GB/T 16500—1998，24—10
763	庒	GE-382B	GB/T 16500—1998，24—11
764	庻	GE-382C	GB/T 16500—1998，24—12
765	庽	GE-382D	GB/T 16500—1998，24—13
766	廀	GE-382E	GB/T 16500—1998，24—14
767	廁	GE-382F	GB/T 16500—1998，24—15
768	廂	GE-3830	GB/T 16500—1998，24—16
769	廃	GE-3831	GB/T 16500—1998，24—17
770	廍	GE-3832	GB/T 16500—1998，24—18
771	廏	GE-3833	GB/T 16500—1998，24—19
772	廐	GE-3834	GB/T 16500—1998，24—20
773	廕	GE-3835	GB/T 16500—1998，24—21
774	廚	GE-3836	GB/T 16500—1998，24—22
775	廝	GE-3837	GB/T 16500—1998，24—23
776	廩	GE-3838	GB/T 16500—1998，24—24
777	廫	GE-3839	GB/T 16500—1998，24—25
778	廭	GE-383A	GB/T 16500—1998，24—26
779	廰	GE-383B	GB/T 16500—1998，24—27
780	廵	GE-383C	GB/T 16500—1998，24—28
781	廸	GE-383D	GB/T 16500—1998，24—29
782	廹	GE-383E	GB/T 16500—1998，24—30
783	廻	GE-383F	GB/T 16500—1998，24—31
784	廼	GE-3840	GB/T 16500—1998，24—32
785	廽	GE-3841	GB/T 16500—1998，24—33
786	弅	GE-3842	GB/T 16500—1998，24—34
787	弉	GE-3843	GB/T 16500—1998，24—35
788	弐	GE-3844	GB/T 16500—1998，24—36
789	弒	GE-3845	GB/T 16500—1998，24—37
790	弔	GE-3846	GB/T 16500—1998，24—38
791	弖	GE-3847	GB/T 16500—1998，24—39
792	弫	GE-3848	GB/T 16500—1998，24—40
793	弬	GE-3849	GB/T 16500—1998，24—41
794	強	GE-384A	GB/T 16500—1998，24—42
795	弾	GE-384B	GB/T 16500—1998，24—43
796	彁	GE-384C	GB/T 16500—1998，24—44
797	彂	GE-384D	GB/T 16500—1998，24—45
798	彅	GE-384E	GB/T 16500—1998，24—46
799	彊	GE-384F	GB/T 16500—1998，24—47
800	彑	GE-3850	GB/T 16500—1998，24—48
801	彔	GE-3851	GB/T 16500—1998，24—49
802	彚	GE-3852	GB/T 16500—1998，24—50
803	彛	GE-3853	GB/T 16500—1998，24—51
804	彞	GE-3854	GB/T 16500—1998，24—52
805	彥	GE-3855	GB/T 16500—1998，24—53
806	彫	GE-3856	GB/T 16500—1998，24—54
807	彵	GE-3857	GB/T 16500—1998，24—55
808	彺	GE-3858	GB/T 16500—1998，24—56
809	彿	GE-3859	GB/T 16500—1998，24—57
810	徃	GE-385A	GB/T 16500—1998，24—58
811	徍	GE-385B	GB/T 16500—1998，24—59
812	徏	GE-385C	GB/T 16500—1998，24—60
813	従	GE-385D	GB/T 16500—1998，24—61
814	徔	GE-385E	GB/T 16500—1998，24—62
815	徖	GE-385F	GB/T 16500—1998，24—63
816	徚	GE-3860	GB/T 16500—1998，24—64
817	徟	GE-3861	GB/T 16500—1998，24—65
818	徢	GE-3862	GB/T 16500—1998，24—66
819	徣	GE-3863	GB/T 16500—1998，24—67
820	徤	GE-3864	GB/T 16500—1998，24—68
821	徧	GE-3865	GB/T 16500—1998，24—69
822	徰	GE-3866	GB/T 16500—1998，24—70
823	徱	GE-3867	GB/T 16500—1998，24—71
824	徳	GE-3868	GB/T 16500—1998，24—72
825	徴	GE-3869	GB/T 16500—1998，24—73
826	徺	GE-386A	GB/T 16500—1998，24—74
827	徻	GE-386B	GB/T 16500—1998，24—75
828	徾	GE-386C	GB/T 16500—1998，24—76
829	忁	GE-386D	GB/T 16500—1998，24—77
830	忎	GE-386E	GB/T 16500—1998，24—78
831	忛	GE-386F	GB/T 16500—1998，24—79
832	応	GE-3870	GB/T 16500—1998，24—80
833	忟	GE-3871	GB/T 16500—1998，24—81
834	忢	GE-3872	GB/T 16500—1998，24—82
835	忩	GE-3873	GB/T 16500—1998，24—83
836	忰	GE-3874	GB/T 16500—1998，24—84
837	怱	GE-3875	GB/T 16500—1998，24—85
838	怳	GE-3876	GB/T 16500—1998，24—86
839	怷	GE-3877	GB/T 16500—1998，24—87
840	怺	GE-3878	GB/T 16500—1998，24—88
841	怽	GE-3879	GB/T 16500—1998，24—89
842	恄	GE-387A	GB/T 16500—1998，24—90
843	恆	GE-387B	GB/T 16500—1998，24—91
844	恏	GE-387C	GB/T 16500—1998，24—92
845	恖	GE-387D	GB/T 16500—1998，24—93
846	恘	GE-387E	GB/T 16500—1998，24—94
847	恠	GE-3921	GB/T 16500—1998，25—01
848	恡	GE-3922	GB/T 16500—1998，25—02
849	恥	GE-3923	GB/T 16500—1998，25—03
850	恦	GE-3924	GB/T 16500—1998，25—04
851	恱	GE-3925	GB/T 16500—1998，25—05
852	恴	GE-3926	GB/T 16500—1998，25—06
853	恵	GE-3927	GB/T 16500—1998，25—07
854	恷	GE-3928	GB/T 16500—1998，25—08
855	悅	GE-3929	GB/T 16500—1998，25—09
856	悑	GE-392A	GB/T 16500—1998，25—10
857	悓	GE-392B	GB/T 16500—1998，25—11
858	悞	GE-392C	GB/T 16500—1998，25—12
859	悡	GE-392D	GB/T 16500—1998，25—13
860	悤	GE-392E	GB/T 16500—1998，25—14
861	悥	GE-392F	GB/T 16500—1998，25—15
862	悩	GE-3930	GB/T 16500—1998，25—16
863	悪	GE-3931	GB/T 16500—1998，25—17
864	悳	GE-3932	GB/T 16500—1998，25—18
865	悽	GE-3933	GB/T 16500—1998，25—19
866	惂	GE-3934	GB/T 16500—1998，25—20
867	惍	GE-3935	GB/T 16500—1998，25—21
868	惏	GE-3936	GB/T 16500—1998，25—22
869	惞	GE-3937	GB/T 16500—1998，25—23
870	惣	GE-3938	GB/T 16500—1998，25—24
871	惤	GE-3939	GB/T 16500—1998，25—25
872	惥	GE-393A	GB/T 16500—1998，25—26
873	惪	GE-393B	GB/T 16500—1998，25—27
874	惷	GE-393C	GB/T 16500—1998，25—28
875	愂	GE-393D	GB/T 16500—1998，25—29
876	愡	GE-393E	GB/T 16500—1998，25—30
877	愥	GE-393F	GB/T 16500—1998，25—31
878	愬	GE-3940	GB/T 16500—1998，25—32
879	愯	GE-3941	GB/T 16500—1998，25—33
880	愱	GE-3942	GB/T 16500—1998，25—34
881	愳	GE-3943	GB/T 16500—1998，25—35
882	愹	GE-3944	GB/T 16500—1998，25—36
883	愼	GE-3945	GB/T 16500—1998，25—37
884	愽	GE-3946	GB/T 16500—1998，25—38
885	慂	GE-3947	GB/T 16500—1998，25—39
886	慄	GE-3948	GB/T 16500—1998，25—40
887	慇	GE-3949	GB/T 16500—1998，25—41
888	慍	GE-394A	GB/T 16500—1998，25—42
889	慏	GE-394B	GB/T 16500—1998，25—43
890	慐	GE-394C	GB/T 16500—1998，25—44
891	慙	GE-394D	GB/T 16500—1998，25—45
892	慴	GE-394E	GB/T 16500—1998，25—46
893	慻	GE-394F	GB/T 16500—1998，25—47
894	慼	GE-3950	GB/T 16500—1998，25—48
895	慽	GE-3951	GB/T 16500—1998，25—49
896	慾	GE-3952	GB/T 16500—1998，25—50
897	慿	GE-3953	GB/T 16500—1998，25—51
898	憄	GE-3954	GB/T 16500—1998，25—52
899	憅	GE-3955	GB/T 16500—1998，25—53
900	憇	GE-3956	GB/T 16500—1998，25—54
901	憉	GE-3957	GB/T 16500—1998，25—55
902	憗	GE-3958	GB/T 16500—1998，25—56
903	憘	GE-3959	GB/T 16500—1998，25—57
904	憠	GE-395A	GB/T 16500—1998，25—58
905	憳	GE-395B	GB/T 16500—1998，25—59
906	憽	GE-395C	GB/T 16500—1998，25—60
907	懃	GE-395D	GB/T 16500—1998，25—61
908	懄	GE-395E	GB/T 16500—1998，25—62
909	懍	GE-395F	GB/T 16500—1998，25—63
910	懎	GE-3960	GB/T 16500—1998，25—64
911	懏	GE-3961	GB/T 16500—1998，25—65
912	懐	GE-3962	GB/T 16500—1998，25—66
913	懓	GE-3963	GB/T 16500—1998，25—67
914	懗	GE-3964	GB/T 16500—1998，25—68
915	懚	GE-3965	GB/T 16500—1998，25—69
916	懜	GE-3966	GB/T 16500—1998，25—70
917	懝	GE-3967	GB/T 16500—1998，25—71
918	懧	GE-3968	GB/T 16500—1998，25—72
919	懩	GE-3969	GB/T 16500—1998，25—73
920	懬	GE-396A	GB/T 16500—1998，25—74
921	懳	GE-396B	GB/T 16500—1998，25—75
922	懴	GE-396C	GB/T 16500—1998，25—76
923	懽	GE-396D	GB/T 16500—1998，25—77
924	戓	GE-396E	GB/T 16500—1998，25—78
925	戝	GE-396F	GB/T 16500—1998，25—79
926	戞	GE-3970	GB/T 16500—1998，25—80
927	戦	GE-3971	GB/T 16500—1998，25—81
928	戯	GE-3972	GB/T 16500—1998，25—82
929	戱	GE-3973	GB/T 16500—1998，25—83
930	戶	GE-3974	GB/T 16500—1998，25—84
931	戸	GE-3975	GB/T 16500—1998，25—85
932	戹	GE-3976	GB/T 16500—1998，25—86
933	戻	GE-3977	GB/T 16500—1998，25—87
934	戼	GE-3978	GB/T 16500—1998，25—88
935	扄	GE-3979	GB/T 16500—1998，25—89
936	扖	GE-397A	GB/T 16500—1998，25—90
937	扗	GE-397B	GB/T 16500—1998，25—91
938	扜	GE-397C	GB/T 16500—1998，25—92
939	扞	GE-397D	GB/T 16500—1998，25—93
940	扥	GE-397E	GB/T 16500—1998，25—94
941	扨	GE-3A21	GB/T 16500—1998，26—01
942	扷	GE-3A22	GB/T 16500—1998，26—02
943	抂	GE-3A23	GB/T 16500—1998，26—03
944	抜	GE-3A24	GB/T 16500—1998，26—04
945	抝	GE-3A25	GB/T 16500—1998，26—05
946	択	GE-3A26	GB/T 16500—1998，26—06
947	抣	GE-3A27	GB/T 16500—1998，26—07
948	抷	GE-3A28	GB/T 16500—1998，26—08
949	抺	GE-3A29	GB/T 16500—1998，26—09
950	拀	GE-3A2A	GB/T 16500—1998，26—10
951	拁	GE-3A2B	GB/T 16500—1998，26—11
952	拋	GE-3A2C	GB/T 16500—1998，26—12
953	拏	GE-3A2D	GB/T 16500—1998，26—13
954	拝	GE-3A2E	GB/T 16500—1998，26—14
955	拞	GE-3A2F	GB/T 16500—1998，26—15
956	拠	GE-3A30	GB/T 16500—1998，26—16
957	拡	GE-3A31	GB/T 16500—1998，26—17
958	拻	GE-3A32	GB/T 16500—1998，26—18
959	挀	GE-3A33	GB/T 16500—1998，26—19
960	挅	GE-3A34	GB/T 16500—1998，26—20
961	挊	GE-3A35	GB/T 16500—1998，26—21
962	挐	GE-3A36	GB/T 16500—1998，26—22
963	挔	GE-3A37	GB/T 16500—1998，26—23
964	挗	GE-3A38	GB/T 16500—1998，26—24
965	挘	GE-3A39	GB/T 16500—1998，26—25
966	挙	GE-3A3A	GB/T 16500—1998，26—26
967	挧	GE-3A3B	GB/T 16500—1998，26—27
968	挩	GE-3A3C	GB/T 16500—1998，26—28
969	挱	GE-3A3D	GB/T 16500—1998，26—29
970	挳	GE-3A3E	GB/T 16500—1998，26—30
971	挵	GE-3A3F	GB/T 16500—1998，26—31
972	挿	GE-3A40	GB/T 16500—1998，26—32
973	捄	GE-3A41	GB/T 16500—1998，26—33
974	捑	GE-3A42	GB/T 16500—1998，26—34
975	捙	GE-3A43	GB/T 16500—1998，26—35
976	捛	GE-3A44	GB/T 16500—1998，26—36
977	捜	GE-3A45	GB/T 16500—1998，26—37
978	捠	GE-3A46	GB/T 16500—1998，26—38
979	捤	GE-3A47	GB/T 16500—1998，26—39
980	捰	GE-3A48	GB/T 16500—1998，26—40
981	捴	GE-3A49	GB/T 16500—1998，26—41
982	捸	GE-3A4A	GB/T 16500—1998，26—42
983	捹	GE-3A4B	GB/T 16500—1998，26—43
984	捼	GE-3A4C	GB/T 16500—1998，26—44
985	掆	GE-3A4D	GB/T 16500—1998，26—45
986	掑	GE-3A4E	GB/T 16500—1998，26—46
987	掛	GE-3A4F	GB/T 16500—1998，26—47
988	採	GE-3A50	GB/T 16500—1998，26—48
989	掲	GE-3A51	GB/T 16500—1998，26—49
990	掵	GE-3A52	GB/T 16500—1998，26—50
991	掶	GE-3A53	GB/T 16500—1998，26—51
992	掻	GE-3A54	GB/T 16500—1998，26—52
993	掽	GE-3A55	GB/T 16500—1998，26—53
994	揑	GE-3A56	GB/T 16500—1998，26—54
995	揗	GE-3A57	GB/T 16500—1998，26—55
996	揫	GE-3A58	GB/T 16500—1998，26—56
997	揯	GE-3A59	GB/T 16500—1998，26—57
998	揷	GE-3A5A	GB/T 16500—1998，26—58
999	揹	GE-3A5B	GB/T 16500—1998，26—59
1000	揺	GE-3A5C	GB/T 16500—1998，26—60
1001	搃	GE-3A5D	GB/T 16500—1998，26—61
1002	搆	GE-3A5E	GB/T 16500—1998，26—62
1003	搇	GE-3A5F	GB/T 16500—1998，26—63
1004	搉	GE-3A60	GB/T 16500—1998，26—64
1005	搖	GE-3A61	GB/T 16500—1998，26—65
1006	搤	GE-3A62	GB/T 16500—1998，26—66
1007	搥	GE-3A63	GB/T 16500—1998，26—67
1008	搨	GE-3A64	GB/T 16500—1998，26—68
1009	搩	GE-3A65	GB/T 16500—1998，26—69
1010	搮	GE-3A66	GB/T 16500—1998，26—70
1011	搵	GE-3A67	GB/T 16500—1998，26—71
1012	搾	GE-3A68	GB/T 16500—1998，26—72
1013	摀	GE-3A69	GB/T 16500—1998，26—73
1014	摂	GE-3A6A	GB/T 16500—1998，26—74
1015	摃	GE-3A6B	GB/T 16500—1998，26—75
1016	摉	GE-3A6C	GB/T 16500—1998，26—76
1017	摛	GE-3A6D	GB/T 16500—1998，26—77
1018	摥	GE-3A6E	GB/T 16500—1998，26—78
1019	摿	GE-3A6F	GB/T 16500—1998，26—79
1020	撀	GE-3A70	GB/T 16500—1998，26—80
1021	撁	GE-3A71	GB/T 16500—1998，26—81
1022	撃	GE-3A72	GB/T 16500—1998，26—82
1023	撐	GE-3A73	GB/T 16500—1998，26—83
1024	撘	GE-3A74	GB/T 16500—1998，26—84
1025	撚	GE-3A75	GB/T 16500—1998，26—85
1026	撦	GE-3A76	GB/T 16500—1998，26—86
1027	撧	GE-3A77	GB/T 16500—1998，26—87
1028	撪	GE-3A78	GB/T 16500—1998，26—88
1029	撱	GE-3A79	GB/T 16500—1998，26—89
1030	撶	GE-3A7A	GB/T 16500—1998，26—90
1031	撹	GE-3A7B	GB/T 16500—1998，26—91
1032	擈	GE-3A7C	GB/T 16500—1998，26—92
1033	擌	GE-3A7D	GB/T 16500—1998，26—93
1034	擓	GE-3A7E	GB/T 16500—1998，26—94
1035	擕	GE-3B21	GB/T 16500—1998，27—01
1036	擙	GE-3B22	GB/T 16500—1998，27—02
1037	擛	GE-3B23	GB/T 16500—1998，27—03
1038	擜	GE-3B24	GB/T 16500—1998，27—04
1039	擟	GE-3B25	GB/T 16500—1998，27—05
1040	擣	GE-3B26	GB/T 16500—1998，27—06
1041	擧	GE-3B27	GB/T 16500—1998，27—07
1042	擮	GE-3B28	GB/T 16500—1998，27—08
1043	擵	GE-3B29	GB/T 16500—1998，27—09
1044	擶	GE-3B2A	GB/T 16500—1998，27—10
1045	擹	GE-3B2B	GB/T 16500—1998，27—11
1046	攊	GE-3B2C	GB/T 16500—1998，27—12
1047	攚	GE-3B2D	GB/T 16500—1998，27—13
1048	攜	GE-3B2E	GB/T 16500—1998，27—14
1049	攨	GE-3B2F	GB/T 16500—1998，27—15
1050	攩	GE-3B30	GB/T 16500—1998，27—16
1051	攷	GE-3B31	GB/T 16500—1998，27—17
1052	敂	GE-3B32	GB/T 16500—1998，27—18
1053	敇	GE-3B33	GB/T 16500—1998，27—19
1054	敋	GE-3B34	GB/T 16500—1998，27—20
1055	敍	GE-3B35	GB/T 16500—1998，27—21
1056	敎	GE-3B36	GB/T 16500—1998，27—22
1057	敒	GE-3B37	GB/T 16500—1998，27—23
1058	敓	GE-3B38	GB/T 16500—1998，27—24
1059	敘	GE-3B39	GB/T 16500—1998，27—25
