num	glyph	pseudo G7-source	description
98	糴	G7-10049.2	简化字总表，第1表第49个字头第2个字样
99	递	G7-10050.1	简化字总表，第1表第50个字头第1个字样
100	遞	G7-10050.2	简化字总表，第1表第50个字头第2个字样
101	点	G7-10051.1	简化字总表，第1表第51个字头第1个字样
102	點	G7-10051.2	简化字总表，第1表第51个字头第2个字样
103	淀	G7-10052.1	简化字总表，第1表第52个字头第1个字样
104	澱	G7-10052.2	简化字总表，第1表第52个字头第2个字样
105	电	G7-10053.1	简化字总表，第1表第53个字头第1个字样
106	電	G7-10053.2	简化字总表，第1表第53个字头第2个字样
107	冬	G7-10054.1	简化字总表，第1表第54个字头第1个字样
108	鼕	G7-10054.2	简化字总表，第1表第54个字头第2个字样
109	斗	G7-10055.1	简化字总表，第1表第55个字头第1个字样
110	鬥	G7-10055.2	简化字总表，第1表第55个字头第2个字样
111	独	G7-10056.1	简化字总表，第1表第56个字头第1个字样
112	獨	G7-10056.2	简化字总表，第1表第56个字头第2个字样
113	吨	G7-10057.1	简化字总表，第1表第57个字头第1个字样
114	噸	G7-10057.2	简化字总表，第1表第57个字头第2个字样
115	夺	G7-10058.1	简化字总表，第1表第58个字头第1个字样
116	奪	G7-10058.2	简化字总表，第1表第58个字头第2个字样
117	堕	G7-10059.1	简化字总表，第1表第59个字头第1个字样
118	墮	G7-10059.2	简化字总表，第1表第59个字头第2个字样
119	儿	G7-10060.1	简化字总表，第1表第60个字头第1个字样
120	兒	G7-10060.2	简化字总表，第1表第60个字头第2个字样
121	矾	G7-10061.1	简化字总表，第1表第61个字头第1个字样
122	礬	G7-10061.2	简化字总表，第1表第61个字头第2个字样
123	范	G7-10062.1	简化字总表，第1表第62个字头第1个字样
124	範	G7-10062.2	简化字总表，第1表第62个字头第2个字样
125	飞	G7-10063.1	简化字总表，第1表第63个字头第1个字样
126	飛	G7-10063.2	简化字总表，第1表第63个字头第2个字样
127	坟	G7-10064.1	简化字总表，第1表第64个字头第1个字样
128	墳	G7-10064.2	简化字总表，第1表第64个字头第2个字样
129	奋	G7-10065.1	简化字总表，第1表第65个字头第1个字样
130	奮	G7-10065.2	简化字总表，第1表第65个字头第2个字样
