num	glyph	pseudo G7-source	description
1	一	G7-T0001.1	现代汉语通用字表，0001
2	乙	G7-T0002.1	现代汉语通用字表，0002
3	二	G7-T0003.1	现代汉语通用字表，0003
4	十	G7-T0004.1	现代汉语通用字表，0004
5	丁	G7-T0005.1	现代汉语通用字表，0005
6	厂	G7-T0006.1	现代汉语通用字表，0006
7	七	G7-T0007.1	现代汉语通用字表，0007
8	卜	G7-T0008.1	现代汉语通用字表，0008
9	八	G7-T0009.1	现代汉语通用字表，0009
10	人	G7-T0010.1	现代汉语通用字表，0010
11	入	G7-T0011.1	现代汉语通用字表，0011
12	乂	G7-T0012.1	现代汉语通用字表，0012
13	儿	G7-T0013.1	现代汉语通用字表，0013
14	九	G7-T0014.1	现代汉语通用字表，0014
15	匕	G7-T0015.1	现代汉语通用字表，0015
16	几	G7-T0016.1	现代汉语通用字表，0016
17	刁	G7-T0017.1	现代汉语通用字表，0017
18	了	G7-T0018.1	现代汉语通用字表，0018
19	乃	G7-T0019.1	现代汉语通用字表，0019
20	刀	G7-T0020.1	现代汉语通用字表，0020
21	力	G7-T0021.1	现代汉语通用字表，0021
22	又	G7-T0022.1	现代汉语通用字表，0022
23	乜	G7-T0023.1	现代汉语通用字表，0023
24	三	G7-T0024.1	现代汉语通用字表，0024
25	干	G7-T0025.1	现代汉语通用字表，0025
26	亍	G7-T0026.1	现代汉语通用字表，0026
27	于	G7-T0027.1	现代汉语通用字表，0027
28	亏	G7-T0028.1	现代汉语通用字表，0028
29	士	G7-T0029.1	现代汉语通用字表，0029
30	土	G7-T0030.1	现代汉语通用字表，0030
31	工	G7-T0031.1	现代汉语通用字表，0031
32	才	G7-T0032.1	现代汉语通用字表，0032
33	下	G7-T0033.1	现代汉语通用字表，0033
34	寸	G7-T0034.1	现代汉语通用字表，0034
35	丈	G7-T0035.1	现代汉语通用字表，0035
36	大	G7-T0036.1	现代汉语通用字表，0036
37	兀	G7-T0037.1	现代汉语通用字表，0037
38	与	G7-T0038.1	现代汉语通用字表，0038
39	万	G7-T0039.1	现代汉语通用字表，0039
40	弋	G7-T0040.1	现代汉语通用字表，0040
41	上	G7-T0041.1	现代汉语通用字表，0041
42	小	G7-T0042.1	现代汉语通用字表，0042
43	口	G7-T0043.1	现代汉语通用字表，0043
44	山	G7-T0044.1	现代汉语通用字表，0044
45	巾	G7-T0045.1	现代汉语通用字表，0045
46	千	G7-T0046.1	现代汉语通用字表，0046
47	乞	G7-T0047.1	现代汉语通用字表，0047
48	川	G7-T0048.1	现代汉语通用字表，0048
49	亿	G7-T0049.1	现代汉语通用字表，0049
50	彳	G7-T0050.1	现代汉语通用字表，0050
51	个	G7-T0051.1	现代汉语通用字表，0051
52	么	G7-T0052.1	现代汉语通用字表，0052
53	久	G7-T0053.1	现代汉语通用字表，0053
54	勺	G7-T0054.1	现代汉语通用字表，0054
55	丸	G7-T0055.1	现代汉语通用字表，0055
56	夕	G7-T0056.1	现代汉语通用字表，0056
57	凡	G7-T0057.1	现代汉语通用字表，0057
58	及	G7-T0058.1	现代汉语通用字表，0058
59	广	G7-T0059.1	现代汉语通用字表，0059
60	亡	G7-T0060.1	现代汉语通用字表，0060
61	门	G7-T0061.1	现代汉语通用字表，0061
62	丫	G7-T0062.1	现代汉语通用字表，0062
63	义	G7-T0063.1	现代汉语通用字表，0063
64	之	G7-T0064.1	现代汉语通用字表，0064
65	尸	G7-T0065.1	现代汉语通用字表，0065
66	已	G7-T0066.1	现代汉语通用字表，0066
67	巳	G7-T0067.1	现代汉语通用字表，0067
68	弓	G7-T0068.1	现代汉语通用字表，0068
69	己	G7-T0069.1	现代汉语通用字表，0069
70	卫	G7-T0070.1	现代汉语通用字表，0070
71	孑	G7-T0071.1	现代汉语通用字表，0071
72	子	G7-T0072.1	现代汉语通用字表，0072
73	孓	G7-T0073.1	现代汉语通用字表，0073
74	也	G7-T0074.1	现代汉语通用字表，0074
75	女	G7-T0075.1	现代汉语通用字表，0075
76	飞	G7-T0076.1	现代汉语通用字表，0076
77	刃	G7-T0077.1	现代汉语通用字表，0077
78	习	G7-T0078.1	现代汉语通用字表，0078
79	叉	G7-T0079.1	现代汉语通用字表，0079
80	马	G7-T0080.1	现代汉语通用字表，0080
81	乡	G7-T0081.1	现代汉语通用字表，0081
82	幺	G7-T0082.1	现代汉语通用字表，0082
83	丰	G7-T0083.1	现代汉语通用字表，0083
84	王	G7-T0084.1	现代汉语通用字表，0084
85	井	G7-T0085.1	现代汉语通用字表，0085
86	开	G7-T0086.1	现代汉语通用字表，0086
87	亓	G7-T0087.1	现代汉语通用字表，0087
88	夫	G7-T0088.1	现代汉语通用字表，0088
89	天	G7-T0089.1	现代汉语通用字表，0089
90	元	G7-T0090.1	现代汉语通用字表，0090
91	无	G7-T0091.1	现代汉语通用字表，0091
92	韦	G7-T0092.1	现代汉语通用字表，0092
93	云	G7-T0093.1	现代汉语通用字表，0093
94	专	G7-T0094.1	现代汉语通用字表，0094
95	丐	G7-T0095.1	现代汉语通用字表，0095
96	扎	G7-T0096.1	现代汉语通用字表，0096
97	廿	G7-T0097.1	现代汉语通用字表，0097
98	艺	G7-T0098.1	现代汉语通用字表，0098
99	木	G7-T0099.1	现代汉语通用字表，0099
100	五	G7-T0100.1	现代汉语通用字表，0100
101	支	G7-T0101.1	现代汉语通用字表，0101
102	厅	G7-T0102.1	现代汉语通用字表，0102
103	卅	G7-T0103.1	现代汉语通用字表，0103
104	不	G7-T0104.1	现代汉语通用字表，0104
105	仄	G7-T0105.1	现代汉语通用字表，0105
106	太	G7-T0106.1	现代汉语通用字表，0106
107	犬	G7-T0107.1	现代汉语通用字表，0107
108	区	G7-T0108.1	现代汉语通用字表，0108
109	历	G7-T0109.1	现代汉语通用字表，0109
110	友	G7-T0110.1	现代汉语通用字表，0110
111	歹	G7-T0111.1	现代汉语通用字表，0111
112	尤	G7-T0112.1	现代汉语通用字表，0112
113	匹	G7-T0113.1	现代汉语通用字表，0113
114	厄	G7-T0114.1	现代汉语通用字表，0114
115	车	G7-T0115.1	现代汉语通用字表，0115
116	巨	G7-T0116.1	现代汉语通用字表，0116
117	牙	G7-T0117.1	现代汉语通用字表，0117
118	屯	G7-T0118.1	现代汉语通用字表，0118
119	戈	G7-T0119.1	现代汉语通用字表，0119
120	比	G7-T0120.1	现代汉语通用字表，0120
121	互	G7-T0121.1	现代汉语通用字表，0121
122	切	G7-T0122.1	现代汉语通用字表，0122
123	瓦	G7-T0123.1	现代汉语通用字表，0123
124	止	G7-T0124.1	现代汉语通用字表，0124
125	少	G7-T0125.1	现代汉语通用字表，0125
126	曰	G7-T0126.1	现代汉语通用字表，0126
127	日	G7-T0127.1	现代汉语通用字表，0127
128	中	G7-T0128.1	现代汉语通用字表，0128
129	贝	G7-T0129.1	现代汉语通用字表，0129
130	内	G7-T0130.1	现代汉语通用字表，0130
131	水	G7-T0131.1	现代汉语通用字表，0131
132	冈	G7-T0132.1	现代汉语通用字表，0132
133	见	G7-T0133.1	现代汉语通用字表，0133
134	手	G7-T0134.1	现代汉语通用字表，0134
135	午	G7-T0135.1	现代汉语通用字表，0135
136	牛	G7-T0136.1	现代汉语通用字表，0136
137	毛	G7-T0137.1	现代汉语通用字表，0137
138	气	G7-T0138.1	现代汉语通用字表，0138
139	壬	G7-T0139.1	现代汉语通用字表，0139
140	升	G7-T0140.1	现代汉语通用字表，0140
141	夭	G7-T0141.1	现代汉语通用字表，0141
142	长	G7-T0142.1	现代汉语通用字表，0142
143	仁	G7-T0143.1	现代汉语通用字表，0143
144	仃	G7-T0144.1	现代汉语通用字表，0144
145	什	G7-T0145.1	现代汉语通用字表，0145
146	片	G7-T0146.1	现代汉语通用字表，0146
147	仆	G7-T0147.1	现代汉语通用字表，0147
148	仉	G7-T0148.1	现代汉语通用字表，0148
149	化	G7-T0149.1	现代汉语通用字表，0149
150	仇	G7-T0150.1	现代汉语通用字表，0150
151	币	G7-T0151.1	现代汉语通用字表，0151
152	仂	G7-T0152.1	现代汉语通用字表，0152
153	仍	G7-T0153.1	现代汉语通用字表，0153
154	仅	G7-T0154.1	现代汉语通用字表，0154
155	斤	G7-T0155.1	现代汉语通用字表，0155
156	爪	G7-T0156.1	现代汉语通用字表，0156
157	反	G7-T0157.1	现代汉语通用字表，0157
158	兮	G7-T0158.1	现代汉语通用字表，0158
159	刈	G7-T0159.1	现代汉语通用字表，0159
160	介	G7-T0160.1	现代汉语通用字表，0160
161	父	G7-T0161.1	现代汉语通用字表，0161
162	爻	G7-T0162.1	现代汉语通用字表，0162
163	从	G7-T0163.1	现代汉语通用字表，0163
164	仑	G7-T0164.1	现代汉语通用字表，0164
165	今	G7-T0165.1	现代汉语通用字表，0165
166	凶	G7-T0166.1	现代汉语通用字表，0166
167	分	G7-T0167.1	现代汉语通用字表，0167
168	乏	G7-T0168.1	现代汉语通用字表，0168
169	公	G7-T0169.1	现代汉语通用字表，0169
170	仓	G7-T0170.1	现代汉语通用字表，0170
171	月	G7-T0171.1	现代汉语通用字表，0171
172	氏	G7-T0172.1	现代汉语通用字表，0172
173	勿	G7-T0173.1	现代汉语通用字表，0173
174	风	G7-T0174.1	现代汉语通用字表，0174
175	欠	G7-T0175.1	现代汉语通用字表，0175
176	丹	G7-T0176.1	现代汉语通用字表，0176
177	匀	G7-T0177.1	现代汉语通用字表，0177
178	乌	G7-T0178.1	现代汉语通用字表，0178
179	勾	G7-T0179.1	现代汉语通用字表，0179
180	殳	G7-T0180.1	现代汉语通用字表，0180
181	凤	G7-T0181.1	现代汉语通用字表，0181
182	卞	G7-T0182.1	现代汉语通用字表，0182
183	六	G7-T0183.1	现代汉语通用字表，0183
184	文	G7-T0184.1	现代汉语通用字表，0184
185	亢	G7-T0185.1	现代汉语通用字表，0185
186	方	G7-T0186.1	现代汉语通用字表，0186
187	闩	G7-T0187.1	现代汉语通用字表，0187
188	火	G7-T0188.1	现代汉语通用字表，0188
189	为	G7-T0189.1	现代汉语通用字表，0189
190	斗	G7-T0190.1	现代汉语通用字表，0190
191	忆	G7-T0191.1	现代汉语通用字表，0191
192	计	G7-T0192.1	现代汉语通用字表，0192
193	订	G7-T0193.1	现代汉语通用字表，0193
194	户	G7-T0194.1	现代汉语通用字表，0194
195	讣	G7-T0195.1	现代汉语通用字表，0195
196	认	G7-T0196.1	现代汉语通用字表，0196
197	讥	G7-T0197.1	现代汉语通用字表，0197
198	冗	G7-T0198.1	现代汉语通用字表，0198
199	心	G7-T0199.1	现代汉语通用字表，0199
200	尹	G7-T0200.1	现代汉语通用字表，0200
201	尺	G7-T0201.1	现代汉语通用字表，0201
202	夬	G7-T0202.1	现代汉语通用字表，0202
203	引	G7-T0203.1	现代汉语通用字表，0203
204	丑	G7-T0204.1	现代汉语通用字表，0204
205	爿	G7-T0205.1	现代汉语通用字表，0205
206	巴	G7-T0206.1	现代汉语通用字表，0206
207	孔	G7-T0207.1	现代汉语通用字表，0207
208	队	G7-T0208.1	现代汉语通用字表，0208
209	办	G7-T0209.1	现代汉语通用字表，0209
210	以	G7-T0210.1	现代汉语通用字表，0210
211	允	G7-T0211.1	现代汉语通用字表，0211
212	邓	G7-T0212.1	现代汉语通用字表，0212
213	予	G7-T0213.1	现代汉语通用字表，0213
214	劝	G7-T0214.1	现代汉语通用字表，0214
215	双	G7-T0215.1	现代汉语通用字表，0215
216	书	G7-T0216.1	现代汉语通用字表，0216
217	毋	G7-T0217.1	现代汉语通用字表，0217
218	幻	G7-T0218.1	现代汉语通用字表，0218
219	玉	G7-T0219.1	现代汉语通用字表，0219
220	刊	G7-T0220.1	现代汉语通用字表，0220
221	末	G7-T0221.1	现代汉语通用字表，0221
222	未	G7-T0222.1	现代汉语通用字表，0222
223	示	G7-T0223.1	现代汉语通用字表，0223
224	击	G7-T0224.1	现代汉语通用字表，0224
225	邗	G7-T0225.1	现代汉语通用字表，0225
226	戋	G7-T0226.1	现代汉语通用字表，0226
227	打	G7-T0227.1	现代汉语通用字表，0227
228	巧	G7-T0228.1	现代汉语通用字表，0228
229	正	G7-T0229.1	现代汉语通用字表，0229
230	扑	G7-T0230.1	现代汉语通用字表，0230
231	卉	G7-T0231.1	现代汉语通用字表，0231
232	扒	G7-T0232.1	现代汉语通用字表，0232
233	邛	G7-T0233.1	现代汉语通用字表，0233
234	功	G7-T0234.1	现代汉语通用字表，0234
235	扔	G7-T0235.1	现代汉语通用字表，0235
236	去	G7-T0236.1	现代汉语通用字表，0236
237	甘	G7-T0237.1	现代汉语通用字表，0237
238	世	G7-T0238.1	现代汉语通用字表，0238
239	艾	G7-T0239.1	现代汉语通用字表，0239
240	艽	G7-T0240.1	现代汉语通用字表，0240
241	古	G7-T0241.1	现代汉语通用字表，0241
242	节	G7-T0242.1	现代汉语通用字表，0242
243	艿	G7-T0243.1	现代汉语通用字表，0243
244	本	G7-T0244.1	现代汉语通用字表，0244
245	术	G7-T0245.1	现代汉语通用字表，0245
246	札	G7-T0246.1	现代汉语通用字表，0246
247	可	G7-T0247.1	现代汉语通用字表，0247
248	叵	G7-T0248.1	现代汉语通用字表，0248
249	匝	G7-T0249.1	现代汉语通用字表，0249
250	丙	G7-T0250.1	现代汉语通用字表，0250
251	左	G7-T0251.1	现代汉语通用字表，0251
252	厉	G7-T0252.1	现代汉语通用字表，0252
253	丕	G7-T0253.1	现代汉语通用字表，0253
254	石	G7-T0254.1	现代汉语通用字表，0254
255	右	G7-T0255.1	现代汉语通用字表，0255
256	布	G7-T0256.1	现代汉语通用字表，0256
257	夯	G7-T0257.1	现代汉语通用字表，0257
258	龙	G7-T0258.1	现代汉语通用字表，0258
259	戊	G7-T0259.1	现代汉语通用字表，0259
260	平	G7-T0260.1	现代汉语通用字表，0260
261	灭	G7-T0261.1	现代汉语通用字表，0261
262	轧	G7-T0262.1	现代汉语通用字表，0262
263	东	G7-T0263.1	现代汉语通用字表，0263
264	匜	G7-T0264.1	现代汉语通用字表，0264
265	劢	G7-T0265.1	现代汉语通用字表，0265
266	卡	G7-T0266.1	现代汉语通用字表，0266
267	北	G7-T0267.1	现代汉语通用字表，0267
268	占	G7-T0268.1	现代汉语通用字表，0268
269	凸	G7-T0269.1	现代汉语通用字表，0269
270	卢	G7-T0270.1	现代汉语通用字表，0270
271	业	G7-T0271.1	现代汉语通用字表，0271
272	旧	G7-T0272.1	现代汉语通用字表，0272
273	帅	G7-T0273.1	现代汉语通用字表，0273
274	归	G7-T0274.1	现代汉语通用字表，0274
275	目	G7-T0275.1	现代汉语通用字表，0275
276	旦	G7-T0276.1	现代汉语通用字表，0276
277	且	G7-T0277.1	现代汉语通用字表，0277
278	叮	G7-T0278.1	现代汉语通用字表，0278
