num	glyph	G8-source	description
108	慓	G8-2E5A	GB/T 8565.2—1988，14—58
109	沇	G8-2E5B	GB/T 8565.2—1988，14—59
110	涭	G8-2E5C	GB/T 8565.2—1988，14—60
111	溁	G8-2E5D	GB/T 8565.2—1988，14—61
112	溵	G8-2E5E	GB/T 8565.2—1988，14—62
113	澔	G8-2E5F	GB/T 8565.2—1988，14—63
114	澛	G8-2E60	GB/T 8565.2—1988，14—64
115	礽	G8-2E61	GB/T 8565.2—1988，14—65
116	祎	G8-2E62	GB/T 8565.2—1988，14—66
117	砆	G8-2E63	GB/T 8565.2—1988，14—67
118	硙	G8-2E64	GB/T 8565.2—1988，14—68
119	碔	G8-2E65	GB/T 8565.2—1988，14—69
120	磜	G8-2E66	GB/T 8565.2—1988，14—70
121	礃	G8-2E67	GB/T 8565.2—1988，14—71
122	稖	G8-2E68	GB/T 8565.2—1988，14—72
123	穞	G8-2E69	GB/T 8565.2—1988，14—73
124	痠	G8-2E6A	GB/T 8565.2—1988，14—74
125	竜	G8-2E6B	GB/T 8565.2—1988，14—75
126	癶	G8-2E6C	GB/T 8565.2—1988，14—76
127	颒	G8-2E6D	GB/T 8565.2—1988，14—77
128	簰	G8-2E6E	GB/T 8565.2—1988，14—78
129	篲	G8-2E6F	GB/T 8565.2—1988，14—79
130	籝	G8-2E70	GB/T 8565.2—1988，14—80
131	鲝	G8-2E71	GB/T 8565.2—1988，14—81
132	粬	G8-2E72	GB/T 8565.2—1988，14—82
133	艸	G8-2E73	GB/T 8565.2—1988，14—83
134	菑	G8-2E74	GB/T 8565.2—1988，14—84
135	蓪	G8-2E75	GB/T 8565.2—1988，14—85
136	翀	G8-2E76	GB/T 8565.2—1988，14—86
137	缞	G8-2E77	GB/T 8565.2—1988，14—87
138	踡	G8-2E78	GB/T 8565.2—1988，14—88
139	蹓	G8-2E79	GB/T 8565.2—1988，14—89
140	靔	G8-2E7A	GB/T 8565.2—1988，14—90
141	鼌	G8-2E7B	GB/T 8565.2—1988，14—91
142	铻	G8-2E7C	GB/T 8565.2—1988，14—92
143	邨	G8-2F66	GB/T 8565.2—1988，15—70
144	陞	G8-2F67	GB/T 8565.2—1988，15—71
145	塂	G8-2F68	GB/T 8565.2—1988，15—72
146	堃	G8-2F69	GB/T 8565.2—1988，15—73
147	氾	G8-2F6A	GB/T 8565.2—1988，15—74
148	洩	G8-2F6B	GB/T 8565.2—1988，15—75
149	滧	G8-2F6C	GB/T 8565.2—1988，15—76
150	蔴	G8-2F6D	GB/T 8565.2—1988，15—77
151	蓆	G8-2F6E	GB/T 8565.2—1988，15—78
152	挼	G8-2F6F	GB/T 8565.2—1988，15—79
153	崅	G8-2F70	GB/T 8565.2—1988，15—80
154	缐	G8-2F71	GB/T 8565.2—1988，15—81
155	绬	G8-2F72	GB/T 8565.2—1988，15—82
156	犇	G8-2F73	GB/T 8565.2—1988，15—83
157	焮	G8-2F74	GB/T 8565.2—1988，15—84
158	舘	G8-2F75	GB/T 8565.2—1988，15—85
159	舖	G8-2F76	GB/T 8565.2—1988，15—86
160	畬	G8-2F77	GB/T 8565.2—1988，15—87
161	痳	G8-2F78	GB/T 8565.2—1988，15—88
162	鬥	G8-2F79	GB/T 8565.2—1988，15—89
163	覀	G8-2F7A	GB/T 8565.2—1988，15—90
164	粦	G8-2F7B	GB/T 8565.2—1988，15—91
165	亅	G8-2F7C	GB/T 8565.2—1988，15—92
166	啰	G8-2F7D	GB/T 8565.2—1988，15—93
167	丏	G8-7A21	GB/T 8565.2—1988，90—01
168	朿	G8-7A22	GB/T 8565.2—1988，90—02
169	乂	G8-7A23	GB/T 8565.2—1988，90—03
170	甪	G8-7A24	GB/T 8565.2—1988，90—04
171	夬	G8-7A25	GB/T 8565.2—1988，90—05
172	黡	G8-7A26	GB/T 8565.2—1988，90—06
173	虒	G8-7A27	GB/T 8565.2—1988，90—07
174	匜	G8-7A28	GB/T 8565.2—1988，90—08
175	冇	G8-7A29	GB/T 8565.2—1988，90—09
176	冏	G8-7A2A	GB/T 8565.2—1988，90—10
177	僰	G8-7A2B	GB/T 8565.2—1988，90—11
178	伋	G8-7A2C	GB/T 8565.2—1988，90—12
179	伣	G8-7A2D	GB/T 8565.2—1988，90—13
180	伃	G8-7A2E	GB/T 8565.2—1988，90—14
181	佡	G8-7A2F	GB/T 8565.2—1988，90—15
182	佺	G8-7A30	GB/T 8565.2—1988，90—16
183	佫	G8-7A31	GB/T 8565.2—1988，90—17
184	俫	G8-7A32	GB/T 8565.2—1988，90—18
185	俵	G8-7A33	GB/T 8565.2—1988，90—19
186	倴	G8-7A34	GB/T 8565.2—1988，90—20
187	倢	G8-7A35	GB/T 8565.2—1988，90—21
188	俶	G8-7A36	GB/T 8565.2—1988，90—22
189	偲	G8-7A37	GB/T 8565.2—1988，90—23
190	亶	G8-7A38	GB/T 8565.2—1988，90—24
191	冮	G8-7A39	GB/T 8565.2—1988，90—25
192	夐	G8-7A3A	GB/T 8565.2—1988，90—26
193	毚	G8-7A3B	GB/T 8565.2—1988，90—27
194	刬	G8-7A3C	GB/T 8565.2—1988，90—28
195	刲	G8-7A3D	GB/T 8565.2—1988，90—29
196	⿰⿱亼丑刂	G8-7A3E	GB/T 8565.2—1988，90—30
197	劘	G8-7A3F	GB/T 8565.2—1988，90—31
198	劻	G8-7A40	GB/T 8565.2—1988，90—32
199	劼	G8-7A41	GB/T 8565.2—1988，90—33
200	勍	G8-7A42	GB/T 8565.2—1988，90—34
201	勚	G8-7A43	GB/T 8565.2—1988，90—35
202	勷	G8-7A44	GB/T 8565.2—1988，90—36
203	叆	G8-7A45	GB/T 8565.2—1988，90—37
204	叇	G8-7A46	GB/T 8565.2—1988，90—38
205	坰	G8-7A47	GB/T 8565.2—1988，90—39
206	坬	G8-7A48	GB/T 8565.2—1988，90—40
207	垱	G8-7A49	GB/T 8565.2—1988，90—41
208	垟	G8-7A4A	GB/T 8565.2—1988，90—42
