1	的	830322	830322	3.83396	830322	830322	3.83513
2	一	270949	1101271	5.08505	270949	1101271	5.08660
3	是	211842	1313113	6.06322	211842	1313113	6.06506
4	在	204459	1517572	7.00729	204459	1517572	7.00943
5	了	177299	1694871	7.82596	177299	1694871	7.82834
6	不	174234	1869105	8.63047	174234	1869105	8.63310
7	和	161754	2030859	9.37736	161754	2030859	9.38022
8	有	150015	2180874	10.07005	150015	2180874	10.07312
9	大	148500	2329374	10.75574	148500	2329374	10.75901
10	这	138426	2467800	11.39491	138426	2467800	11.39838
11	主	131991	2599791	12.00437	131991	2599791	12.00803
12	中	129005	2728796	12.60004	129005	2728796	12.60388
13	人	126375	2855171	13.18357	126375	2855171	13.18759
14	上	119011	2974182	13.73310	119011	2974182	13.73728
15	为	113913	3088095	14.25908	113913	3088095	14.26343
16	们	113101	3201196	14.78132	113101	3201196	14.78582
17	地	105862	3307058	15.27013	105862	3307058	15.27478
18	个	107623	3414681	15.76707	107623	3414681	15.77188
19	用	102435	3517116	16.24006	102435	3517116	16.24501
20	工	98549	3615665	16.69510	98549	3615665	16.70019
21	时	97539	3713204	17.14548	97539	3713204	17.15071
22	要	97436	3810640	17.59539	97436	3810640	17.60075
23	动	96432	3907072	18.04066	96432	3907072	18.04616
24	国	96337	4003409	18.48549	96337	4003409	18.49112
25	产	93541	4096950	18.91741	93541	4096950	18.92317
26	以	91031	4187981	19.33774	91031	4187981	19.34363
27	我	89091	4277072	19.74911	89091	4277072	19.75513
28	到	88008	4365080	20.15548	88008	4365080	20.16162
29	他	85765	4450845	20.55149	85765	4450845	20.55776
30	会	83607	4534452	20.93754	83607	4534452	20.94393
31	作	83496	4617948	21.32308	83496	4617948	21.32958
32	来	81220	4699168	21.69811	81220	4699168	21.70472
33	分	79671	4778839	22.06599	79671	4778839	22.07271
34	生	79355	4858194	22.43240	79355	4858194	22.43924
35	对	78537	4936731	22.79504	78537	4936731	22.80199
36	于	76800	5013531	23.14966	76800	5013531	23.15672
37	学	74079	5087610	23.49172	74079	5087610	23.49888
38	下	73836	5161446	23.83265	73836	5161446	23.83991
39	级	73794	5235240	24.17339	73794	5235240	24.18076
40	就	73271	5308511	24.51171	73271	5308511	24.51918
41	年	69829	5378340	24.83414	69829	5378340	24.84171
42	阶	69522	5447862	25.15516	69522	5447862	25.16282
43	义	69024	5516886	25.47387	69024	5516886	25.48163
44	发	68599	5585485	25.79062	68599	5585485	25.79848
45	成	67836	5653321	26.10385	67836	5653321	26.11181
46	部	67100	5720421	26.41368	67100	5720421	26.42173
47	民	66810	5787231	26.72217	66810	5787231	26.73032
