198	鄙	3	2329	381	
199	秕	4	3025	126	
200	俾	4	3330	86	# 可能有〈文艺〉10次。
201	吡	4	4042	25	
202	匕	5	4819	13	
203	妣	5	4924	6	
204	必	1	282	18966	
205	壁	2	1113	2715	
206	避	2	1154	2488	
207	闭	2	1181	2396	
208	臂	2	1288	2003	
209	毕	3	1417	1567	
210	币	3	1686	1001	
211	蔽	3	2106	535	
212	痹	4	2578	266	
213	庇	4	2762	196	
214	蓖	4	2770	196	
215	碧	4	2826	177	
216	毙	4	3097	111	
217	铋	4	3208	92	
218	弊	4	3216	143	
219	敝	4	3363	70	
220	毖	4	3387	68	
221	篦	4	3955	29	
222	婢	4	3974	28	
223	璧	4	4150	26	
224	陛	4	4417	40	# 按附录三，升为4级字。
225	濞	4	4428	22	# 按附录三，升为4级字。
226	芘	5	4560	11	
227	愎	5	4565	12	
228	哔	5	4681	9	
229	贲	5	4699	9	
230	髀	5	4725	9	
231	弼	5	4879	17	
232	坒	5	5167	4	
233	襞	5	5259	4	
234	畀	5	5518	2	
235	嬖	5	5584	2	
236	荜	5	5590	3	
237	薜	5	5981	1	
238	𭠷	5	6036	1	
239	柲	5	6044	1	
240	诐	5	6246	1	
241	边	1	378	14349	
242	编	2	879	4210	
243	鞭	3	2006	620	
244	鳊	4	3186	97	
245	砭	5	4630	10	
246	蝙	5	5448	3	
247	扁	3	1816	829	
248	贬	4	2930	151	
249	匾	4	3929	33	
250	萹	5	4689	9	# 按4级字定义，降至5级字。
251	藊	5	5380	3	
252	褊	5	5729	2	
253	变	1	144	35175	
254	便	1	490	10037	
255	遍	2	974	3426	
256	辩	2	1099	2758	
257	辨	3	1664	1037	
258	辫	4	3096	111	
259	卞	5	4277	17	
260	苄	5	4287	17	
261	汴	5	4704	13	
262	标	1	461	10886	
263	彪	1	512	9422	
264	膘	4	3131	106	
265	镖	4	3668	44	
266	飙	4	3785	39	
267	飑	5	4788	8	# 原文作“颮”，由于“飑”在2312而“颮”不在，故改正。
268	镳	5	5265	4	
269	表	1	87	45498	
270	婊	5	5581	2	
271	鳔	4	4325	80	# 按附录三，升为4级字。
272	憋	4	3067	116	
273	鳖	4	3251	86	
274	别	1	259	20528	
275	蹩	5	4411	15	
276	瘪	4	3488	57	
277	宾	3	1554	1257	
278	滨	4	2414	336	
279	斌	4	3180	97	
280	彬	4	3503	153	
281	濒	4	3512	55	
282	槟	4	3602	64	
283	缤	5	4190	20	
284	豳	5	5008	6	
285	邠	5	5297	3	
286	玢	5	5669	2	
287	⿰香宾	5	5842	1	
288	摈	4	3663	44	
289	鬓	4	3959	29	
290	膑	4	4582	30	# 按附录三，升为4级字。
291	殡	5	6172	4	
292	兵	1	417	11601	# 按附录三，原多计432次〈文艺〉432次算重了
293	冰	2	1305	1963	
294	柄	2	1098	2760	
295	丙	3	1473	1448	
296	饼	3	2055	577	
297	秉	4	3461	61	
298	炳	4	4153	104	
299	禀	5	4820	9	
300	并	1	226	24585	
301	病	1	296	18287	
302	摒	5	4698	15	
303	𡌶	5	5914	1	
304	波	2	598	7526	
305	播	2	684	6305	
306	剥	2	854	4429	
307	玻	3	1396	1632	
308	拨	3	1598	1162	
309	钵	4	2634	242	
310	菠	4	3013	129	
311	饽	4	3826	35	# 按5级字定义，升至4级字。
312	嶓	5	5351	3	
313	薄	2	1010	3212	
314	伯	2	1108	2726	
315	勃	2	1248	2113	
316	博	3	1654	1066	
317	驳	3	1784	860	
318	泊	3	2091	547	
319	膊	4	2409	338	
320	铂	4	2410	338	
321	脖	4	2505	298	
322	搏	4	2599	256	
323	舶	4	2866	167	
324	渤	4	3320	74	
325	箔	4	3851	34	
326	帛	4	3971	32	
327	礴	4	4066	24	
328	亳	5	4601	10	
329	镈	5	5119	5	
330	孛	5	5504	2	
331	鹁	5	5758	2	
332	浡	5	5995	1	
333	踣	5	6302	1	
334	跛	4	4070	24	
335	簸	4	3184	97	
336	檗	5	4956	6	
337	蘗	5	5180	4	
338	晡	5	5689	2	
339	逋	5	5926	1	
340	醭	5	5467	3	
341	补	2	925	3759	
342	捕	3	1404	1623	
343	哺	3	2279	404	
344	卜	3	2374	557	# 按附录三，原少〈新闻〉196次。
345	卟	4	2919	154	
346	不	1a	6	174234	
347	部	1	46	67100	
348	步	1	335	16129	
349	布	1	410	12393	
350	怖	4	2651	235	
351	簿	4	3447	62	
352	埠	4	3832	55	
353	钚	4	3928	30	
354	擦	2	1093	2770	
355	嚓	4	3397	85	
356	猜	4	2566	271	# 按2级字定义，降至4级字。
357	才	1	399	13276	
358	材	1	554	8471	
359	财	2	1056	2953	
360	裁	3	1942	680	
361	采	1	369	14718	
362	彩	3	1593	1172	
363	踩	3	2361	365	
364	睬	4	3780	37	
365	菜	2	962	3512	
366	蔡	4	2552	276	
367	参	1	375	14439	
368	餐	4	3106	110	
369	骖	5	5106	5	
370	飡	5	5808	1	
371	残	2	1020	3153	# 按附录三，原少计7次。
372	蚕	3	1496	1393	
373	惭	4	3346	71	
374	惨	3	2331	380	
375	灿	3	1986	644	
376	璨	5	6126	1	
377	仓	3	1648	1072	
378	苍	4	2424	332	
379	舱	4	3137	105	
380	沧	4	3415	86	
381	藏	2	998	3282	
382	操	2	892	4064	
383	糙	3	1843	792	
384	槽	2	858	4403	
385	曹	3	1946	675	
386	螬	4	2904	157	
387	漕	5	4345	16	
388	嘈	5	4760	8	
389	草	1	529	9050	
390	测	1	465	10744	# 按附录三，原多计27次。
391	策	2	708	5974	
392	侧	2	770	5233	
393	册	3	2030	1092	# 按附录三，原少计494次。
394	厕	4	3043	121	
395	恻	5	5231	5	
396	䇲	5	6278	1	
397	箣	5	6284	1	
398	岑	4	3237	88	
399	涔	5	4865	7	
400	噌	4	3805	36	
401	层	1	376	14436	
402	鄫	5	5553	2	
403	蹭	4	3651	45	
404	差	1	445	11320	
405	插	2	920	3805	
406	叉	3	1590	1179	
407	扠	5	4762	8	
408	查	1	444	11328	
409	察	2	747	5495	
410	茶	2	1348	1781	
411	茬	3	1916	710	
412	碴	4	3538	54	
413	檫	5	4218	19	
414	搽	5	4558	11	
415	槎	5	4778	8	
416	杈	4	3002	134	
417	岔	4	3104	157	
418	汊	4	4045	25	
419	诧	5	4253	18	
420	衩	5	4440	14	
421	姹	5	5938	1	
422	拆	3	1589	1182	
423	钗	5	4308	17	
424	柴	2	1208	2256	
425	豺	4	3206	93	
426	侪	5	4548	11	
427	虿	5	6328	1	
428	掺	4	2430	328	
429	搀	4	3370	69	
430	辿	5	5924	1	
431	䀡	5	6225	1	
432	蝉	3	2170	480	
433	缠	3	2314	388	
434	蟾	4	3386	69	
435	潺	4	4031	25	
436	禅	4	4067	24	
437	馋	4	4595	29	# 按附录三，升为4级，原少计18次。
438	谗	5	4888	7	
439	婵	5	5330	4	
440	巉	5	5350	3	
441	瀍	5	5628	8	
442	澶	5	6009	1	
443	镵	5	6209	1	
444	产	1a	25	93541	
445	铲	3	1830	810	
446	阐	3	2034	595	
447	谄	5	4658	10	
448	浐	5	5989	1	
449	颤	4	2889	161	
450	忏	5	4693	9	
451	羼	5	5544	2	
452	昌	3	1650	1071	
453	猖	4	2801	184	
454	菖	4	3737	39	
455	娼	4	4141	22	
456	锠	5	4896	7	
457	阊	5	5159	4	
458	伥	5	5530	2	
459	鲳	5	5764	2	
460	长	1	79	47953	
